Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.1531647564015487,0.2162243611786201,0.7083603141045763,0.8670509292651277,-0.3436181589649411,515,-0.019594435834141,-0.03265352674323191
LASSO_Long,0,0.09291444243472927,0.3428452247683623,0.2710098777006603,0.3717248302117141,-0.5499961818798144,929,-0.02893826755901187,-0.04822636166221605
LASSO_Short,0,0.08177961926212786,0.21557822036571875,0.379350099112018,0.481767614631252,-0.3421249769133185,720,-0.019641490960070992,-0.03222622227060666
LASSO_LS,0,0.011134823172601383,0.2499005554557278,0.0445570164992051,0.07101541202808341,-0.38209091171437604,991,-0.020340613023080448,-0.03291830113678194
LASSO_LS_StopLoss,0,-0.03151216494475471,0.036310176613136735,-0.867860415015273,-0.22382341868741013,-0.13855178294513906,1298,0.0,-0.00021611544114574733
ElasticNet_Long,0,0.09505089474812752,0.3428636072612908,0.2772265493773761,0.38165447301412914,-0.5474822168780092,929,-0.028365437765860462,-0.048119477955246945
ElasticNet_Short,0,0.07952068510314247,0.21594955456682377,0.36823731941774146,0.4670840623366331,-0.34300597472882643,718,-0.019387612351926216,-0.03231016661549827
ElasticNet_LS,0,0.015530209644985063,0.2506028599758572,0.06197139827726319,0.09949331893965442,-0.37890243526826317,929,-0.020480893755630294,-0.032779819145730374
ElasticNet_LS_StopLoss,0,-0.03206543627633952,0.036556246918010335,-0.8771534000264589,-0.22445220121467782,-0.1411105946675447,1298,0.0,-0.00021749339895675796
RF_Long,0,0.19376989920010637,0.25460061648558274,0.7610739591868937,0.9860028374981399,-0.3570908137346966,650,-0.024309781260201724,-0.03758893536573698
RF_Short,0,0.011588136573099535,0.25583605193985265,0.04529516651478002,0.05995078678855864,-0.43288505704044866,929,-0.023109880640620698,-0.037197943925891284
RF_LS,0,0.18218176262700694,0.19407693427171008,0.9387089883229001,1.2162976415338607,-0.27770868909208546,436,-0.019438738819501318,-0.029307037920887555
RF_LS_StopLoss,0,0.05665387432746631,0.07478739618921057,0.7575323813137333,0.310881374246343,-0.13017024078234352,1200,0.0,-0.00039940554170017634
XGB_Long,0,0.18436088025563283,0.2521284992695596,0.731217933671695,0.9442822479750145,-0.36598730289198517,567,-0.022771544701083134,-0.036608616800921305
XGB_Short,0,0.02732624402371357,0.25692759622911365,0.10635776158254932,0.13316078134268627,-0.4623109752044151,990,-0.022356455069751983,-0.03826480741656508
XGB_LS,0,0.15703463623191927,0.16481813110345928,0.9527752510028513,1.1487500120771337,-0.2589583365578683,430,-0.015908605931794124,-0.025459511543148097
XGB_LS_StopLoss,0,0.031549551496772084,0.048539703471549366,0.6499741292252488,0.24626136276583416,-0.08312771334648873,1241,0.0,-0.00018957029171222527
LSTM_Long,0,0.15447369912148534,0.26381237031897903,0.5855438049956079,0.7524859650577409,-0.45278185633419604,475,-0.023527388194258706,-0.03801938881149548
LSTM_Short,0,0.08200133239539792,0.26948708382543834,0.3042866887398385,0.41095363060456513,-0.40290849433051806,814,-0.024239263165637705,-0.038242049308184124
LSTM_LS,0,0.07247236672608741,0.1485974793940916,0.4877092600870119,0.7033268648796953,-0.2527234269633493,270,-0.014728146721700733,-0.02089836204394064
LSTM_LS_StopLoss,0,-0.016477146617101108,0.0502701047916584,-0.3277722751004739,-0.08509134627512879,-0.13946845705079333,1274,0.0,-0.00027011085371165486
SP500,5,0.1531647564015487,0.2162243611786201,0.7083603141045763,0.8670509292651277,-0.3436181589649411,515,-0.019594435834141,-0.03265352674323191
LASSO_Long,5,0.08683506765948105,0.34285253945600236,0.253272347923281,0.3474050073673572,-0.5504212059681676,929,-0.028940136012646854,-0.04824632618406736
LASSO_Short,5,0.077737409196858,0.2155600368476679,0.3606299680297119,0.4579817074313052,-0.34250746373413044,727,-0.01967667614525618,-0.032243644191802166
LASSO_LS,5,0.0010132383320832746,0.24991834019081757,0.004054277614478582,0.00646319151733134,-0.38527474787013494,991,-0.0203924648749323,-0.032966514377070655
LASSO_LS_StopLoss,5,-0.04163374978527284,0.03650730325931734,-1.1404224927144442,-1.2223840716116439,-0.18071583657506632,1298,-0.00015251572327044016,-0.004481800350607961
ElasticNet_Long,5,0.08879874318323899,0.34286907822734586,0.2589873185483332,0.3566079765572745,-0.5479370319064402,929,-0.028442739374512367,-0.04814281071304142
ElasticNet_Short,5,0.07543976839323105,0.21593116784833288,0.3493695196712821,0.4431587125708773,-0.3433869836017829,727,-0.0194227975371114,-0.03232786806150161
ElasticNet_LS,5,0.005197141370185131,0.25062779093966037,0.02073649275166122,0.033294157326568465,-0.38005569143598444,929,-0.020499412274148813,-0.032833150231136934
ElasticNet_LS_StopLoss,5,-0.04239850455113947,0.03674118944693484,-1.1539774620627206,-1.2325713712826203,-0.18403808621856202,1298,-0.00015094339622641508,-0.004262557585476573
RF_Long,5,0.058686301182367465,0.25454195109337013,0.2305564993522045,0.2999412779263628,-0.4393458036819404,814,-0.02493874300881233,-0.03817988843782213
RF_Short,5,-0.11876741405277225,0.25581564888771857,-0.46426954163738865,-0.6160003301930008,-0.5661477924782533,1291,-0.023682548757716994,-0.03777208250569023
RF_LS,5,-0.08325738601660385,0.19402736217282748,-0.42910126223559825,-0.5638022925076883,-0.6163287947571496,1147,-0.020888953206293172,-0.030346232296590562
RF_LS_StopLoss,5,-0.20878527431614438,0.07478219441472785,-2.7919115766817555,-4.374985226242479,-0.7516364253211728,1201,-0.0016851851851851852,-0.00880555087159024
XGB_Long,5,0.03510590424602703,0.25226125416785306,0.1391648684290921,0.18017260206285876,-0.43811068897813804,814,-0.023238360533762072,-0.03732993056751809
XGB_Short,5,-0.11957043781493525,0.2569803345090455,-0.46529022558621685,-0.585200332930445,-0.549610849281225,1292,-0.023217566180863094,-0.038936623790268236
XGB_LS,5,-0.13911702161633538,0.16495606922811118,-0.8433580059667644,-1.0352320428972648,-0.6244780335152396,1241,-0.017260739381693337,-0.02677314167946239
XGB_LS_StopLoss,5,-0.26460210635148257,0.0489128932788227,-5.409659674866229,-9.239499053140745,-0.7858469297851907,1241,-0.001779245283018868,-0.005334359656786693
LSTM_Long,5,0.14900560513530345,0.26382087775489826,0.5647983829154587,0.72617578162423,-0.453515765990398,486,-0.023545941653378203,-0.038044207389144255
LSTM_Short,5,0.0771988036436775,0.2694867970445228,0.2864659957011669,0.38689950547256213,-0.4032721433245607,814,-0.024239263165637705,-0.03826549176370205
LSTM_LS,5,0.062201743988185086,0.14860823668317544,0.4185618871233616,0.6027342229375015,-0.2572104275408527,459,-0.014730901320288817,-0.0209380768504479
LSTM_LS_StopLoss,5,-0.026747769355003465,0.05030722177549426,-0.5316884616361957,-0.6253290785881841,-0.1666569144854608,1274,-9.259259259259267e-05,-0.004833145567386301
SP500,10,0.1531647564015487,0.2162243611786201,0.7083603141045763,0.8670509292651277,-0.3436181589649411,515,-0.019594435834141,-0.03265352674323191
LASSO_Long,10,0.08075569288423284,0.3428615169102722,0.23553443271198857,0.3230810251358372,-0.5508458449289334,929,-0.028941987864498704,-0.048266290705918674
LASSO_Short,10,0.07369519913158812,0.21554305004006036,0.34190478012578596,0.43408579410856224,-0.34288975055440085,741,-0.019711861330441362,-0.03226106611299767
LASSO_LS,10,-0.00910834650843479,0.24994156125449676,-0.03644190451047252,-0.05807600077101011,-0.4057975285701567,991,-0.020491640127823264,-0.03301629657759521
