Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.15327409264029646,0.2162243611786201,0.7088659751603047,0.8676698711786318,-0.3436114795848465,515,-0.019594001960177715,-0.03265309286926864
LASSO_Long,0,0.12100827596177166,0.24335833496962322,0.4972431948010998,0.6351081962428518,-0.38115604586006374,723,-0.02144805959251289,-0.035980314633016854
LASSO_Short,0,0.0953530082879631,0.24313495521506182,0.3921814047824586,0.48894272251307475,-0.4199204363606476,650,-0.021510346016062172,-0.036043524125200566
LASSO_LS,0,0.02565526767380855,0.11607335627929045,0.2210263276274876,0.2999159742452595,-0.1692977826712343,804,-0.011902129387857995,-0.01751271716867692
LASSO_LS_StopLoss,0,0.014144732740380656,0.10087158041045559,0.1402251524445682,0.13345901765400175,-0.14509479267918757,804,-0.010737935836561963,-0.017149881082250556
ElasticNet_Long,0,0.11575763099774475,0.24365791968226574,0.4750825712896784,0.6061210954177936,-0.37759526358967904,814,-0.02116340264786318,-0.0359341149661988
ElasticNet_Short,0,0.09437648323425804,0.24487892415788345,0.38540059565685475,0.48551330177146257,-0.4199204363606476,651,-0.02164182805060372,-0.03611866708603601
ElasticNet_LS,0,0.021381147763486687,0.11856685148283014,0.1803298940309883,0.2458057429196452,-0.16821138070749087,488,-0.01240426049909237,-0.017892414788588124
ElasticNet_LS_StopLoss,0,0.01664463895991052,0.10074641513816876,0.16521321316578078,0.15621276720820018,-0.14495532641181516,804,-0.0107086803709633,-0.017167686253839954
RF_Long,0,0.10994290371404501,0.2374923910842284,0.4629323205350733,0.588790770124957,-0.3570050763662,814,-0.023367104120874286,-0.03566628406182818
RF_Short,0,0.10689684916924802,0.27312047611549745,0.3913908275556878,0.47040144766747516,-0.509795334879307,340,-0.023252487750360505,-0.040255924440458016
RF_LS,0,0.0030460545447970272,0.15548773527013807,0.019590320352309048,0.026147927693533395,-0.3537684214185857,1081,-0.014690403827722645,-0.02406420260398981
RF_LS_StopLoss,0,0.04435148637170747,0.08010605230379203,0.5536596186703858,0.18763059915124702,-0.14322162266015495,1248,0.0,-0.00036223967035994067
XGB_Long,0,0.15936335907746088,0.2594443058465098,0.6142488213703254,0.7840138450810231,-0.4220642543417231,614,-0.022431043108605987,-0.03808998575190583
XGB_Short,0,0.09059715170873775,0.22290218810089932,0.4064435279016995,0.5055193133421525,-0.4021595141449117,256,-0.020681190664350587,-0.03309057539381384
XGB_LS,0,0.06876620736872313,0.10991952567778107,0.6256050228082762,0.9974746940851937,-0.18860524064976603,861,-0.009644710611271938,-0.014365783817952026
XGB_LS_StopLoss,0,-0.01946132707687243,0.02197767058504032,-0.8855045397813586,-0.21390405615576577,-0.09719869557335459,1294,0.0,-0.00013697694527237808
LSTM_Long,0,0.12261749067246895,0.24592812770415778,0.49859075420593263,0.6511741334733337,-0.351643941163019,814,-0.023072775144442156,-0.036207337102118105
LSTM_Short,0,0.08825121035768961,0.27484445802597923,0.32109510590658447,0.4157721491473006,-0.4595817323277123,704,-0.023534185978301765,-0.03995511772587397
LSTM_LS,0,0.034366280314779375,0.1771756485314628,0.19396728952103492,0.24370765525575264,-0.3174138140701315,1081,-0.017346790270557674,-0.028231000661412934
LSTM_LS_StopLoss,0,0.03531952988739541,0.08923184042702163,0.3958175659985578,0.14711639274593563,-0.12843465127239811,1208,0.0,-0.0005603206015630668
SP500,5,0.15327409264029646,0.2162243611786201,0.7088659751603047,0.8676698711786318,-0.3436114795848465,515,-0.019594001960177715,-0.03265309286926864
LASSO_Long,5,0.11910049121016948,0.24335937253730466,0.4894017023811668,0.6252164100117189,-0.38119665135010683,728,-0.021450011800241062,-0.03598663241359694
LASSO_Short,5,0.0934865003344451,0.24312845829555113,0.38451484038450695,0.47928669858756795,-0.41996790279868307,651,-0.021510346016062172,-0.0360518554993002
LASSO_LS,5,0.02188097496868838,0.11611866268665276,0.18843633282045613,0.25546940422772857,-0.17139786163075665,804,-0.011902129387857995,-0.0175292453353329
LASSO_LS_StopLoss,5,0.010370440035260487,0.10087866574722576,0.10280112210490534,0.0973785640243968,-0.15294823126383514,804,-0.010744076481612809,-0.01717242837102735
ElasticNet_Long,5,0.11355386808438739,0.24365969195563855,0.4660346862174535,0.5945956842076994,-0.37762565141302357,814,-0.02116340264786318,-0.03594019343528922
ElasticNet_Short,5,0.09209535664469345,0.24487105081193883,0.3760973636504822,0.4737108106238678,-0.41996790279868307,651,-0.02164182805060372,-0.036128045688354316
ElasticNet_LS,5,0.016896258260564716,0.11862036715130894,0.1424397737617209,0.19376224183260465,-0.1702171616385126,490,-0.01240426049909237,-0.017914436076552735
ElasticNet_LS_StopLoss,5,0.012159749456988557,0.10075354080542694,0.12068806078459518,0.1219254399238104,-0.15586423445263323,804,-0.0107086803709633,-0.01719023774606358
RF_Long,5,0.05135810706473197,0.23749661976695602,0.21624773908414865,0.27557562684637943,-0.38266881803777103,830,-0.023678333749360677,-0.035915970723899904
RF_Short,5,0.06176783232020026,0.2731204927821895,0.22615597859754671,0.27272754802854743,-0.513513679555263,521,-0.023426798092777118,-0.040416582030529336
RF_LS,5,-0.10066775895356377,0.15569615642754123,-0.6465654725421119,-0.8665991493236409,-0.5954794610369898,1248,-0.015101899301656682,-0.024546276523277635
RF_LS_StopLoss,5,-0.059362327126653305,0.08030962702193722,-0.7391682582517536,-1.1220156337426133,-0.46506161394506823,1248,-0.0017,-0.008019798505106502
XGB_Long,5,0.06628611360190859,0.25958962057285734,0.25534963014172013,0.3276187001552829,-0.4294075223724116,830,-0.022874329029705518,-0.03851716890798036
XGB_Short,5,0.020880398979759265,0.22299119658859207,0.09363777269773832,0.1167507745042325,-0.410936637023331,659,-0.02079668926674847,-0.033426343591532584
XGB_LS,5,-0.09402779083580766,0.11008437169653779,-0.8541429576852905,-1.3428764344548574,-0.5304579690807102,1043,-0.010190600230313382,-0.015102372393372011
XGB_LS_StopLoss,5,-0.1822553252814032,0.022967748861587346,-7.935271601050029,-8.723697138812778,-0.6078012729668152,1298,-0.0013728813559322033,-0.0038173465538709683
LSTM_Long,5,0.11952826380870706,0.2459535446738833,0.4859790248894072,0.6348505840211549,-0.3517629774128414,814,-0.023072775144442156,-0.036223239881380154
LSTM_Short,5,0.08474812218911316,0.27482428525299957,0.3083720280072599,0.3995159493226862,-0.4598182605546163,705,-0.02353582532256406,-0.03996374754469828
LSTM_LS,5,0.027773965282441002,0.17728488738885317,0.15666290393677007,0.1975031829628908,-0.32475062503757934,1081,-0.017466453656187965,-0.02826847328185421
LSTM_LS_StopLoss,5,0.028727214855057064,0.0892379125299657,0.32191715427465417,0.34494604105293014,-0.14600135946867798,1208,-0.00016666666666666663,-0.010682030093782432
SP500,10,0.15327409264029646,0.2162243611786201,0.7088659751603047,0.8676698711786318,-0.3436114795848465,515,-0.019594001960177715,-0.03265309286926864
LASSO_Long,10,0.11719270645856734,0.24336285348923134,0.481555441918555,0.6153337465067491,-0.38123725518968066,729,-0.021450011800241062,-0.03599295019417701
LASSO_Short,10,0.09161999238092709,0.24312474337859738,0.3768435540855466,0.4698072449949841,-0.42001536643356246,651,-0.021510346016062172,-0.036060186873399847
LASSO_LS,10,0.018106682263568215,0.11618504069328743,0.15584349031100633,0.21129133378167536,-0.17349373850691033,804,-0.012027609926086324,-0.017552952312601032
LASSO_LS_StopLoss,10,0.006596147330140323,0.10091003291023476,0.06536661558725258,0.06212061437810277,-0.16073380761724526,804,-0.010744076481612809,-0.01719497565980415
ElasticNet_Long,10,0.11135010517102997,0.24366389254081444,0.4569823785129694,0.5831918020667373,-0.37765603824750565,814,-0.02116340264786318,-0.03594627190437964
ElasticNet_Short,10,0.08981423005512887,0.24486606111556902,0.3667892138500133,0.462207445940351,-0.42001536643356246,652,-0.02164182805060372,-0.036137424290672626
ElasticNet_LS,10,0.012411368757642748,0.11869504949265712,0.10456517614418752,0.14223766705581564,-0.176116857990333,804,-0.012588787173794557,-0.01794126382351704
ElasticNet_LS_StopLoss,10,0.007674859954066579,0.10078562320521005,0.07615034476137299,0.07711814550925472,-0.1666385788638058,804,-0.0107086803709633,-0.0172127892382872
RF_Long,10,-0.007226689584581044,0.23757239852257703,-0.03041889390149115,-0.038821604398859795,-0.4581330752429178,966,-0.02391300069718516,-0.03617017348137828
RF_Short,10,0.016638815471152507,0.27315823262063293,0.060912736590519656,0.07378220368417203,-0.5172047283690886,951,-0.023541689014685827,-0.04057828161715979
RF_LS,10,-0.20438157245192454,0.15622670002484784,-1.3082371478077541,-1.756311977722836,-0.7564792699978611,1248,-0.01567072242117745,-0.02504140253168573
RF_LS_StopLoss,10,-0.1630761406250141,0.0811352213072661,-2.0099303113678664,-2.9983073461648906,-0.6790348808456481,1248,-0.0034,-0.009416701648668079
XGB_Long,10,-0.026791131873643736,0.25978483622574133,-0.10312815891364593,-0.13273057956536805,-0.4881256717099654,990,-0.023168566317841113,-0.0389470797094138
XGB_Short,10,-0.04883635374921919,0.22311966937373795,-0.2188796437637937,-0.27271206184949887,-0.4221256919088046,1291,-0.020906802261098752,-0.033762111789251315
XGB_LS,10,-0.25682178904033837,0.11055944045346622,-2.3229295299159283,-3.6007877540875284,-0.7666435567387471,1190,-0.010508875137546248,-0.01587293085535522
XGB_LS_StopLoss,10,-0.34504932348593403,0.02530950782141525,-13.633189784669613,-14.760435276342585,-0.8303998998439236,1298,-0.002715254237288135,-0.005115611371449155
LSTM_Long,10,0.11643903694494519,0.24598143416501336,0.473365143756474,0.6185745368242862,-0.35188199415817245,814,-0.023072775144442156,-0.0362391426606422
LSTM_Short,10,0.08124503402053669,0.27480627827408677,0.2956447521169963,0.38303564293217657,-0.46005469019921297,716,-0.023537464666826352,-0.03997237736352259
LSTM_LS,10,0.021181650250102685,0.17740728931486033,0.11939560280699485,0.1505077914884434,-0.33201046731641837,1081,-0.018146403446645157,-0.028334539425583588
LSTM_LS_StopLoss,10,0.022134899822718726,0.08927027983070557,0.24795374076003698,0.26578310530404375,-0.17116863824384512,1208,-0.00033333333333333327,-0.0108622937612995
SP500,20,0.15327409264029646,0.2162243611786201,0.7088659751603047,0.8676698711786318,-0.3436114795848465,515,-0.019594001960177715,-0.03265309286926864
LASSO_Long,20,0.11337713695536303,0.24337714505286523,0.46584956418457363,0.5956536020670271,-0.3813184579175482,746,-0.021450011800241062,-0.03600558575533717
LASSO_Short,20,0.0878869764738911,0.2431256599669623,0.3614878679849499,0.4506975786191889,-0.420110285294283,651,-0.021510346016062172,-0.036076849621599134
LASSO_LS,20,0.010558096853327877,0.11638085584033683,0.09072022006619847,0.12292599660086242,-0.1778696680388017,1167,-0.01206206472782679,-0.017651637402186695
LASSO_LS_StopLoss,20,-0.0009524380801000184,0.10104550475727742,-0.009425833265793278,-0.009003731206574467,-0.1763007093206418,1167,-0.010744076481612809,-0.017240070237357744
ElasticNet_Long,20,0.1069425793443152,0.2436795780716645,0.43886557991685343,0.5604391129873253,-0.37771680894994947,814,-0.02116340264786318,-0.035958428842560466
ElasticNet_Short,20,0.08525197687599968,0.24486473327481015,0.3481594745631333,0.43866480466468327,-0.420110285294283,679,-0.02164182805060372,-0.03615618149530924
ElasticNet_LS,20,0.0034415897517988104,0.11890774336076587,0.02894336108420655,0.03933545239586414,-0.19676991760527573,861,-0.012626065202005054,-0.018042532796779767
ElasticNet_LS_StopLoss,20,-0.0012949190517773529,0.10092454448797636,-0.012830566224964464,-0.013039975359354573,-0.1884708825765996,861,-0.0107086803709633,-0.017257892222734446
RF_Long,20,-0.12439628288320705,0.23793826825774075,-0.5228090621743025,-0.6693666171019166,-0.6143836488162875,990,-0.024282134002561646,-0.0366851559938003
