Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.1533404905047475,0.2162243611786201,0.709173053715603,0.8680457430921585,-0.34360742328980626,515,-0.019593738476588626,-0.03265282938567953
LASSO_Long,0,0.18865405278127523,0.27920882830737614,0.6756736666420492,0.8503845609022205,-0.4520645630680626,651,-0.024879613575333595,-0.04136282692773785
LASSO_Short,0,0.07999033792485506,0.27077071703645195,0.29541724009279235,0.4147596393895905,-0.384331100709597,497,-0.02527711841433657,-0.038659354503854076
LASSO_LS,0,0.10866371485642017,0.23657876581828174,0.45931305153517343,0.6275602869331374,-0.4960259818241717,1077,-0.025463554824545372,-0.034765438067581485
LASSO_LS_StopLoss,0,-0.009870901659186766,0.03579726874067531,-0.27574454718023694,-0.060249936890571565,-0.1021811648868615,1267,0.0,-0.0001699819752138622
ElasticNet_Long,0,0.1972286493756487,0.27806947411141475,0.7092783197648824,0.8925729985536762,-0.44936434963518956,597,-0.024860562434596483,-0.0411612753081776
ElasticNet_Short,0,0.07764644644019687,0.2700016518133984,0.2875776719094271,0.4045159277180657,-0.3816533536388095,497,-0.025332509106415747,-0.03868969418260696
ElasticNet_LS,0,0.11958220293545187,0.23547475390115272,0.5078344958612843,0.6950657334524127,-0.48739357451232246,1077,-0.025256215196287016,-0.0343079456740772
ElasticNet_LS_StopLoss,0,-0.009567492036164036,0.03497592110782937,-0.27354510569336654,-0.06061789731152452,-0.09792476426571912,1267,0.0,-0.0001642942416872938
RF_Long,0,0.15357243088136596,0.25711105983307575,0.5972999799427913,0.765977482071315,-0.4108454044433738,610,-0.022668455766491374,-0.03724762383787418
RF_Short,0,0.06811480808454444,0.298901124418348,0.22788408112245706,0.3029562577702412,-0.4579844521207002,497,-0.025244049526667117,-0.04335111200565374
RF_LS,0,0.08545762279682145,0.22284881992712455,0.38347801359131084,0.507902380489214,-0.5041682962214512,1077,-0.023268000632648576,-0.034018195006919764
RF_LS_StopLoss,0,0.040604896695235,0.08507100357920915,0.4773059560467981,0.2031750919140113,-0.1162250381927041,1227,0.0,-0.0004985213916832403
XGB_Long,0,0.15485524571283288,0.2705164424959812,0.5724430067319601,0.7377661355609594,-0.41793850815940115,691,-0.0244461798737763,-0.03948015611538333
XGB_Short,0,0.08233703726887986,0.26408807980358184,0.31177869644899864,0.42719497208762186,-0.3762931346132943,497,-0.024170142081732706,-0.03806828204179571
XGB_LS,0,0.072518208443953,0.1886446886985318,0.38441691067084577,0.5203038903379964,-0.353735254371891,1077,-0.019722307687552818,-0.028134815935154475
XGB_LS_StopLoss,0,-0.009783775397111887,0.025045333918500584,-0.3906426414177201,-0.08739536536686805,-0.07608555372974746,1287,0.0,-0.00012480800580229226
LSTM_Long,0,0.15412041045038447,0.29244220467954263,0.5270115188034135,0.6606444989760241,-0.45857233568882466,722,-0.02605105967873051,-0.04307837086323965
LSTM_Short,0,0.09025945938647623,0.22178600903320084,0.4069664257900263,0.5478473509271652,-0.33536242455104126,497,-0.020494746910744287,-0.0317980565580274
LSTM_LS,0,0.06386095106390827,0.21129387635538957,0.30223758570502146,0.4283483855191427,-0.4306255527544625,1019,-0.02107854330866612,-0.029935594922441668
LSTM_LS_StopLoss,0,-0.022706420488107053,0.03797510180533627,-0.5979291538045685,-0.1991904178565544,-0.1185216154812492,1297,0.0,-0.0002236503228914326
SP500,5,0.1533404905047475,0.2162243611786201,0.709173053715603,0.8680457430921585,-0.34360742328980626,515,-0.019593738476588626,-0.03265282938567953
LASSO_Long,5,0.10130743998856911,0.2792239974191355,0.362817812669945,0.4578927160221805,-0.4576539537206438,814,-0.025234406527470707,-0.04175167363066078
LASSO_Short,5,-0.002531762625891678,0.27082597721219526,-0.009348300528453417,-0.013167126718744681,-0.3955860715233305,497,-0.02554146533411181,-0.038955316471182985
LASSO_LS,5,-0.06120499848703264,0.23648401027683433,-0.2588124178686943,-0.35504451412117793,-0.6509172053988684,1077,-0.02603149594106524,-0.03537771481061759
LASSO_LS_StopLoss,5,-0.17973961500263957,0.03627834199983952,-4.9544605705364,-5.978946445792045,-0.6172691668142682,1287,-0.001293103448275862,-0.004334515913921423
ElasticNet_Long,5,0.10546133981599318,0.27808332963894017,0.3792436603550555,0.478629124360509,-0.45587076071170807,814,-0.02517335357821403,-0.04154607078751917
ElasticNet_Short,5,-0.009270384208543871,0.2700376785161917,-0.03432996557918495,-0.0484407825804951,-0.3929948491257008,497,-0.025585114266449892,-0.038997489626642144
ElasticNet_LS,5,-0.059101937272944466,0.2353893881805117,-0.25108157054056024,-0.34493197038664203,-0.6462309700955139,1077,-0.025953980073612274,-0.03495459945033739
ElasticNet_LS_StopLoss,5,-0.18825163224456035,0.03532738514357065,-5.328773456611772,-6.532830697001325,-0.6332361500639468,1287,-0.0012775862068965518,-0.0044140042765800705
RF_Long,5,0.04599574083913934,0.2570904312816607,0.1789088011165525,0.23050560259117026,-0.42254749263955155,957,-0.023173123729814515,-0.037661161425311895
RF_Short,5,-0.018117285497590174,0.29890160718908776,-0.06061287414265733,-0.08098973580238154,-0.4670328599864811,497,-0.025570031921649538,-0.043638213261989585
RF_LS,5,-0.1083511608275397,0.22279028610149088,-0.48633700653439144,-0.6482623252176963,-0.6705679788188066,1077,-0.02384847189233922,-0.03476798095050514
RF_LS_StopLoss,5,-0.15320388692912612,0.08502501555123619,-1.801868378804415,-2.75652456876436,-0.6390824078537989,1227,-0.001327586206896552,-0.010352057809427781
XGB_Long,5,0.04501111779581771,0.270503118304235,0.1663977778814131,0.21531738648877327,-0.4305869003518239,957,-0.024949672217386514,-0.039950104428464694
XGB_Short,5,-0.0237007275814742,0.2640446172564918,-0.08976031334299618,-0.12328595662242582,-0.3888893080423354,820,-0.024460198111575092,-0.03847933308744302
XGB_LS,5,-0.14336368432341626,0.1886284408595722,-0.7600321757955149,-1.033835048411123,-0.6312163469645171,1077,-0.02056448710918686,-0.028958792381313807
XGB_LS_StopLoss,5,-0.22566566816448114,0.025302095653709823,-8.918852859185748,-10.574919073006285,-0.6909864466012073,1298,-0.0012413793103448277,-0.003580457759275826
LSTM_Long,5,0.13392748707124064,0.2924508605300953,0.4579486852200886,0.575006593154277,-0.45898794265605586,777,-0.026069092465615756,-0.04313934177592809
LSTM_Short,5,0.06978609929111734,0.22179438939851737,0.3146432129341494,0.4236823151810984,-0.3366131772975779,497,-0.020565933351422254,-0.03187729187955914
LSTM_LS,5,0.023194667589405617,0.2112979869073964,0.10977230748332177,0.15581794068892063,-0.46839586263519717,1019,-0.021260333545035082,-0.03010290799446149
LSTM_LS_StopLoss,5,-0.06337270396260976,0.0379297855704125,-1.6707899348643893,-2.1470654418484103,-0.28375209050926753,1297,-0.0002999999999999999,-0.004575437446911933
SP500,10,0.1533404905047475,0.2162243611786201,0.709173053715603,0.8680457430921585,-0.34360742328980626,515,-0.019593738476588626,-0.03265282938567953
LASSO_Long,10,0.013960827195862996,0.2792671677657791,0.049990936305022146,0.06323491047155784,-0.4678151472683582,957,-0.02569432689975202,-0.04214052033358372
LASSO_Short,10,-0.08505386317663846,0.2709159633459348,-0.3139492487861724,-0.44374641919451197,-0.46982067840563474,1292,-0.025804723288175783,-0.03926123587000024
LASSO_LS,10,-0.2310737118304855,0.23652342202497764,-0.9769591098089362,-1.3447151580318701,-0.7753193005723027,1077,-0.026561628660110734,-0.03600499340431282
LASSO_LS_StopLoss,10,-0.3496083283460924,0.03760663660182609,-9.29645296514276,-10.989653519144733,-0.8389095624947753,1287,-0.002586206896551724,-0.005585931436945319
ElasticNet_Long,10,0.013694030256337614,0.27811734012197015,0.0492383187985762,0.06237389846775715,-0.4667079126995226,957,-0.025498130827976136,-0.04193312491929248
ElasticNet_Short,10,-0.09618721485728467,0.27010069387145763,-0.3561161338706545,-0.5041600625977232,-0.4985243943775484,1292,-0.025780626643495064,-0.03931535363936402
ElasticNet_LS,10,-0.23778607748134079,0.23540194936390663,-1.0101279030351127,-1.3929387133617306,-0.7817225544811574,1077,-0.026498245478244392,-0.035612629203367115
ElasticNet_LS_StopLoss,10,-0.3669357724529567,0.036315872259490824,-10.104005483637017,-12.174671618783067,-0.8524841305439727,1287,-0.0025517241379310347,-0.00543735057098081
RF_Long,10,-0.061580949203087196,0.2570845653685253,-0.23953576954264913,-0.310160905963205,-0.5056255274704705,957,-0.02365588070952731,-0.038074699012749603
RF_Short,10,-0.10434937907972475,0.2989201107625718,-0.34908785097637024,-0.4683213338242843,-0.5379980806098411,1292,-0.025865560852099567,-0.04392820983977952
RF_LS,10,-0.3021599444519008,0.22279940221121527,-1.3561972853295685,-1.814560633907019,-0.8415283253987507,1238,-0.024672465288639613,-0.03551913572134998
RF_LS_StopLoss,10,-0.3470126705534873,0.08515619704531573,-4.075013711202076,-6.206637640144711,-0.8596829040046474,1238,-0.0026551724137931034,-0.011332147430672639
XGB_Long,10,-0.06483301012119742,0.27050326804735314,-0.23967551515809427,-0.31116620948509893,-0.531583842760535,957,-0.025428005550719848,-0.040420052741546066
XGB_Short,10,-0.12973849243182825,0.2640221247601897,-0.4913925018582031,-0.6760807850722771,-0.5737757203358953,1292,-0.024846927050469206,-0.0388912183443999
XGB_LS,10,-0.3592455770907855,0.18869418690596304,-1.9038507914916203,-2.5978427192361746,-0.858031051846749,1298,-0.021289999842732808,-0.02979145211969881
XGB_LS_StopLoss,10,-0.44154756093185044,0.02615455375058031,-16.882244107187397,-19.54046839527688,-0.8984087400548971,1298,-0.0024827586206896553,-0.004814213746884145
LSTM_Long,10,0.11373456369209688,0.2924621845084757,0.3888863918706071,0.48953979017762644,-0.459403252448923,814,-0.026087125252501002,-0.04320031268861653
LSTM_Short,10,0.04931273919575845,0.2218061362929419,0.2223236021325873,0.29953934168834406,-0.33786169258188564,703,-0.020637119792100218,-0.0319565272010909
LSTM_LS,10,-0.017471615885097148,0.21131466447030667,-0.08268056516045628,-0.11744382869429025,-0.5038570772166857,1019,-0.021388338120043985,-0.03027104927520243
LSTM_LS_StopLoss,10,-0.10403898743711244,0.03795444602359146,-2.741154155495897,-3.531699113997884,-0.41803594424279333,1297,-0.0005999999999999998,-0.004816583151352155
SP500,20,0.1533404905047475,0.2162243611786201,0.709173053715603,0.8680457430921585,-0.34360742328980626,515,-0.019593738476588626,-0.03265282938567953
LASSO_Long,20,-0.1607323983895492,0.27943745183507773,-0.5751999144495938,-0.731801210446729,-0.6495900835422708,1291,-0.026310640557100355,-0.04292264802585987
LASSO_Short,20,-0.2500980642781319,0.27119996188000184,-0.9221906321240306,-1.3113316851868795,-0.7716084354943544,1292,-0.02606181269775516,-0.03987779708690178
LASSO_LS,20,-0.5708111385173911,0.23700425180537826,-2.408442608810775,-3.330235531853881,-0.9546864826377561,1298,-0.027747052690632847,-0.037283767185720636
LASSO_LS_StopLoss,20,-0.689345755032998,0.042437521850700245,-16.243779678233576,-18.303264388128706,-0.971728495355527,1298,-0.005172413793103448,-0.008100234536337661
ElasticNet_Long,20,-0.1698405888629734,0.2782457920118077,-0.6103976905992742,-0.7790710066786033,-0.6649323438981448,1291,-0.026248130827976137,-0.04271337900794909
ElasticNet_Short,20,-0.2700208761547662,0.2703076069548092,-0.9989392425789522,-1.4220163092261533,-0.7937129228871406,1292,-0.026125454229701958,-0.03995108166480777
ElasticNet_LS,20,-0.5951543578981334,0.23572066777527953,-2.524828915152719,-3.4932017375414133,-0.9599995828722437,1298,-0.027634320089408113,-0.03694378517089814
ElasticNet_LS_StopLoss,20,-0.7243040528697493,0.03998509111121089,-18.114352943581796,-20.860587871003816,-0.9764012313783804,1298,-0.005103448275862069,-0.00793148216538134
RF_Long,20,-0.27673432928754027,0.2571171229558258,-1.07629677131649,-1.4050190703341747,-0.8009213406105111,1291,-0.024583289609879162,-0.03890223579395246
RF_Short,20,-0.27681356624399395,0.2990111636774617,-0.9257633154546299,-1.2502892481648156,-0.8084073339057075,1292,-0.026573206182838698,-0.044512394026581914
RF_LS,20,-0.6897775117006231,0.22302048949213601,-3.0928885201148546,-4.16668041582904,-0.9763509420458,1238,-0.026221252312500585,-0.0370341954672334
RF_LS_StopLoss,20,-0.7346302378022096,0.08594572802264021,-8.547606201074823,-12.81502454403877,-0.9790630133910699,1238,-0.005241379310344827,-0.012870566419028992
XGB_Long,20,-0.2845212659552278,0.2705439872355582,-1.0516636087997764,-1.3729087264571211,-0.8101175320753573,1292,-0.026427918938644844,-0.04136660270944084
XGB_Short,20,-0.3418140221325364,0.2640400663598653,-1.2945536139453604,-1.7862991176520167,-0.855879553249595,1292,-0.025686877898537942,-0.039714988858313656
XGB_LS,20,-0.7910093626255239,0.1890712118388412,-4.183658394805008,-5.719054801102491,-0.9846949464403818,1298,-0.022811306279139704,-0.03147473483239382
XGB_LS_StopLoss,20,-0.873311346466589,0.029404115168862047,-29.70031036306768,-32.63606203348228,-0.9890537084084081,1298,-0.0049207281158898785,-0.007254348892475173
LSTM_Long,20,0.07334871693380925,0.292492835536132,0.2507709865760059,0.31629060880371174,-0.46023298130071466,951,-0.026123190826271493,-0.043322254513993415
LSTM_Short,20,0.0083660190050407,0.22183972737666846,0.0377119964217941,0.05084011388484173,-0.3403520259470423,703,-0.020779492673456152,-0.032114997844154385
LSTM_LS,20,-0.09880418283410253,0.21138570648959126,-0.4674118438512667,-0.6646976585124711,-0.601507299475371,1019,-0.021575637511041502,-0.030608478323050806
LSTM_LS_StopLoss,20,-0.18537155438611785,0.038212770663529266,-4.851036738956977,-6.255959309646607,-0.6158463373480771,1297,-0.0011999999999999997,-0.005452206467948437
