Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.1587762797824201,0.21709623802339295,0.7313635704977594,0.8958526221241297,-0.3435854950075216,510,-0.019592314114433722,-0.03266769872981833
LASSO_Long,0,0.1827818398886483,0.21816105088577822,0.8378298470167652,1.075024686614568,-0.323709962753557,509,-0.01974569239237982,-0.03247875247080853
LASSO_Short,0,0.07198730728249224,0.34958665650141346,0.2059212099309665,0.2716154296808521,-0.5880076870989797,912,-0.027600405886549263,-0.0497122289242489
LASSO_LS,0,0.11079453260615596,0.26498116879695693,0.41812228812022784,0.4817518265840307,-0.49613544487158895,1227,-0.02328701630769145,-0.04241650500779714
LASSO_Long_QNT,0,0.1692835664777615,0.2139008405864832,0.7914114129407439,1.0045807911575202,-0.3270218117474886,501,-0.019129050265744605,-0.03174755646753122
LASSO_Short_QNT,0,0.08284914082045076,0.31576468584525763,0.26237620777217463,0.34349033912146215,-0.5344399037848567,800,-0.026733505741118855,-0.045402905852291925
LASSO_LS_QNT,0,0.08643442565731076,0.21704861516138468,0.39822610981895995,0.44994369485240276,-0.4317975420151993,1227,-0.018612914974395427,-0.03583628872143722
LASSO_Long_TPSL,0,0.4618294724477726,0.1529678535140179,3.0191276260894306,5.64037983041763,-0.09971290601960132,53,-0.01345045589800857,-0.01651587051391075
LASSO_Short_TPSL,0,0.5678690718282905,0.1838049701277091,3.0895196763924866,6.7173940901352305,-0.11292577625442987,85,-0.014960350993097995,-0.016990587133890653
LASSO_LS_TPSL,0,-0.10603959938051785,0.1492270987037794,-0.7105921129714509,-0.9554608655767379,-0.5364522942670763,1216,-0.016942550971086292,-0.02354555760191035
ElasticNet_Long,0,0.1828543111164422,0.21834631758019105,0.8374508585393758,1.0699206080763577,-0.32742023639585166,509,-0.019251303299056565,-0.03256736427124607
ElasticNet_Short,0,0.0687111309087872,0.3462530851029493,0.198441931249097,0.26019134994309845,-0.5869393967244496,912,-0.027219755473656255,-0.049301637741018076
ElasticNet_LS,0,0.11414318020765503,0.2579777383890857,0.4424536044094729,0.5156125108377988,-0.4741341087706349,1227,-0.022616183455201038,-0.04084824490705568
ElasticNet_Long_QNT,0,0.17674390419274377,0.2137269667530178,0.8269611779826944,1.0479256502905967,-0.33182901485914806,501,-0.018989513796000026,-0.031681925576461226
ElasticNet_Short_QNT,0,0.08106550789998426,0.312594606699286,0.2593311150053486,0.338266415241655,-0.5318340228656011,799,-0.02592294884315583,-0.044967386600080234
ElasticNet_LS_QNT,0,0.09567839629275947,0.21133657954483318,0.4527299367616677,0.5166651215710353,-0.3990089146199923,1227,-0.01901378691124462,-0.03461373902137619
ElasticNet_Long_TPSL,0,0.4609177335922961,0.1526495792917363,3.0194497471323714,5.621399460587451,-0.09916439898825825,53,-0.013580285593348113,-0.01652627949344786
ElasticNet_Short_TPSL,0,0.5623422635065451,0.18213634076453158,3.087479748116545,6.670534982981729,-0.10566971170899402,85,-0.01480848081104392,-0.016938436234548753
ElasticNet_LS_TPSL,0,-0.10142452991424894,0.14515022963906923,-0.6987555594397014,-0.949260739904248,-0.5168494572884708,1227,-0.01624609970415895,-0.022625711177394234
RF_Long,0,0.15127715838129435,0.24304561967402044,0.6224228956859683,0.7941816847176993,-0.39703316985734083,752,-0.02244442083323229,-0.03542203226328944
RF_Short,0,0.04650864811986459,0.28904734994401204,0.1609032157841033,0.20198033173877453,-0.4948813663784788,760,-0.024348075295034168,-0.04348996567202373
RF_LS,0,0.10476851026142969,0.2006482696013572,0.5221500811822651,0.6441451824328237,-0.3150510708528542,1188,-0.01848942506177137,-0.03175540858022961
RF_Long_QNT,0,0.1522374234143548,0.2370041917156477,0.6423406367301969,0.811085324075449,-0.397631167586418,739,-0.0209836117012218,-0.03429677299575254
RF_Short_QNT,0,0.07307748182963085,0.27091052083231376,0.2697476702090275,0.3379346156020914,-0.45804968506175453,687,-0.023183875511621262,-0.041043132919620834
RF_LS_QNT,0,0.07915994158472396,0.16363749035468725,0.48375186769940887,0.6013463492241108,-0.24382176402548417,584,-0.014919958563683654,-0.025519519947154855
RF_Long_TPSL,0,0.46207822313247066,0.16115061160281774,2.867368721325977,5.481950919804409,-0.10700180771098897,88,-0.014493935448498294,-0.016972296169565967
RF_Short_TPSL,0,0.43679474352599856,0.15948710420526968,2.7387464692055414,5.306627922623782,-0.09919275010164405,82,-0.013870314509857193,-0.01637780956946687
RF_LS_TPSL,0,0.025283479606472082,0.12979967105602366,0.1947884721183871,0.27810657431280617,-0.30926344257747,793,-0.013486658619521199,-0.019530451546259237
XGB_Long,0,0.1928499482615343,0.2340825430013042,0.8238544651339498,1.0832250626890847,-0.3226638853647646,580,-0.021673283313448886,-0.034094654071850215
XGB_Short,0,0.08186830933152997,0.3082791727397846,0.26556548924125406,0.3255463609980403,-0.5354924782908598,769,-0.023767768128968303,-0.04581419933303557
XGB_LS,0,0.11098163893000433,0.22902251556278266,0.4845883325370277,0.5785831550959563,-0.36829909041347897,1195,-0.02033283380124392,-0.03677126062996137
XGB_Long_QNT,0,0.1728376576319275,0.22932625047170513,0.7536758538388637,0.9860499707490222,-0.3404037057947851,478,-0.02092469028151813,-0.033271103109408215
XGB_Short_QNT,0,0.0956416658104048,0.28529095085105266,0.3352425498428735,0.41148565542393317,-0.5105413987277433,581,-0.022205363545024448,-0.042458315793820055
XGB_LS_QNT,0,0.07719599182152269,0.1864534853926764,0.41402278782263424,0.4888150626200581,-0.29472859352932235,1216,-0.01628745064972806,-0.03013255127338892
XGB_Long_TPSL,0,0.5027595020237077,0.16214331298299656,3.100710678561443,5.93415762703583,-0.09845186962792811,78,-0.014112360889294174,-0.016930249798356875
XGB_Short_TPSL,0,0.47505358981794554,0.15845156632700969,2.9980996769545207,5.915630555979129,-0.08830048056174801,85,-0.013205630806117485,-0.016244622458475563
XGB_LS_TPSL,0,0.02770591220576205,0.12827313154850722,0.21599154765536302,0.29973404132966547,-0.3063922200015044,617,-0.013536431043954456,-0.0193238111610922
TFT_Long,0,0.17839281393501652,0.2159205381696464,0.8261965973558997,1.0122049797969617,-0.365269891570685,501,-0.018188208211671258,-0.03227047027089275
TFT_Short,0,0.0747048140736114,0.3071549309481022,0.2432154152401797,0.3299764944676833,-0.4493988892950774,799,-0.02508152344282837,-0.043707511980806184
TFT_LS,0,0.10368799986140513,0.21831750070743955,0.474941310364093,0.5669537028932853,-0.35338874872810766,931,-0.020498741025147815,-0.03438957866562123
TFT_Long_QNT,0,0.16437508151382782,0.21396529959437063,0.768232427526545,0.9493029209423595,-0.3592762937948522,508,-0.018435603256770322,-0.03194602615742238
TFT_Short_QNT,0,0.09090565816442124,0.2875143998217887,0.31617775742977633,0.4194651427126164,-0.4502201420115708,682,-0.024230136339778777,-0.041226869040204256
TFT_LS_QNT,0,0.07346942334940657,0.18286080313318145,0.40177786650043973,0.4707692878191265,-0.34683368858842734,1094,-0.01765712821596235,-0.029517440948098172
TFT_Long_TPSL,0,0.4400656880733068,0.14910287857431176,2.951423153470383,5.355430233992342,-0.09799883877662957,56,-0.013203485405039884,-0.016428985453625727
