Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.15788982054078987,0.21717372455361358,0.727020825679175,0.8908510133377994,-0.3435904918742867,510,-0.019592638684321546,-0.03266802329970616
LASSO_Long,0,0.10199614049577391,0.23144602820098875,0.4406908223423908,0.5627389964281857,-0.33521565194872605,597,-0.022328477655480933,-0.03467437995740774
LASSO_Short,0,0.1143333401997697,0.33788495893151577,0.3383794903487946,0.42947290308424124,-0.6274943357663781,698,-0.027738924525020397,-0.047637771913975224
LASSO_LS,0,-0.012337199703995834,0.256639726417395,-0.048072057573544935,-0.055147091469891205,-0.6727356296971282,1227,-0.02414000820931226,-0.041275969161045936
LASSO_LS_StopLoss,0,0.1019465832431345,0.11693093487943587,0.871852973280755,0.1886631391547251,-0.13473888259070269,1227,0.0,-0.0002393040276538407
LASSO_Long_TPSL,0,0.45276078433881106,0.15976224321783633,2.833966118774824,5.397859958809321,-0.09951465818397649,60,-0.014199882423640876,-0.016721400000029696
LASSO_LS_TPSL,0,-0.09212160949007937,0.14966179017943332,-0.6155319228751203,-0.8301769780864547,-0.503498470205424,1227,-0.017863276300974097,-0.023303901724490754
ElasticNet_Long,0,0.10239590354282742,0.2314712499654763,0.442369856118631,0.5650402981935927,-0.33521565194872605,598,-0.022289300711439603,-0.034672576352960144
ElasticNet_Short,0,0.11428466691085444,0.3378194417824088,0.33830103533373834,0.42951914333124264,-0.6274943357663781,698,-0.027738924525020397,-0.047612290379843235
ElasticNet_LS,0,-0.011888763368027095,0.256562036328776,-0.046338747299277075,-0.05314340094292278,-0.6717304555960604,1227,-0.02414000820931226,-0.041260830350301966
ElasticNet_LS_StopLoss,0,0.1019465832431345,0.11693093487943587,0.871852973280755,0.1886631391547251,-0.13473888259070269,1227,0.0,-0.0002393040276538407
ElasticNet_Long_TPSL,0,0.4531795505749782,0.15972856477460465,2.8371853914449594,5.4056825207554535,-0.09951465818397684,60,-0.014199882423640876,-0.016714778103076207
ElasticNet_LS_TPSL,0,-0.09146124779762226,0.14961114031710518,-0.6113264533895502,-0.8239515731272713,-0.5017074984574272,1227,-0.017863276300974097,-0.023299122812376963
RF_Long,0,0.17664172879826473,0.23072729258849517,0.7655866231365499,0.9924045164333868,-0.34463183162569294,430,-0.021228582764670035,-0.03370721452087598
RF_Short,0,0.07708338806350987,0.326615481770063,0.23600653479670783,0.2925650870956852,-0.5905085347531943,799,-0.026784069418695152,-0.048202211167642256
