Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.15788982054078987,0.21717372455361358,0.727020825679175,0.8908510133377994,-0.3435904918742867,510,-0.019592638684321546,-0.03266802329970616
LASSO_Long,0,0.10793607144280935,0.23247259372809828,0.4642958970426088,0.5943097816440239,-0.3345870144927661,694,-0.021843981013606146,-0.03474011668267879
LASSO_Short,0,0.09713740714240132,0.33580095045982294,0.2892707927401277,0.3713965767997262,-0.6193772070712096,698,-0.028185611784118877,-0.047388130137808966
LASSO_LS,0,0.01079866430040794,0.25570369676117743,0.04223116222873263,0.04864547676197952,-0.6426141540197015,1227,-0.024136158789499155,-0.04138850835505688
LASSO_LS_StopLoss,0,0.09920596641620494,0.11408508053197093,0.8695787911409125,0.19217213639545686,-0.1308107651892598,1227,0.0,-0.0002372967425203336
LASSO_Long_TPSL,0,0.4574030531105802,0.15999650056571346,2.858831608774571,5.461875382010137,-0.10022188153940166,60,-0.014241956505270366,-0.016726143852542747
LASSO_LS_TPSL,0,-0.07525954327345376,0.15108957284133684,-0.49811209243728416,-0.6747330644454824,-0.47777202742768954,1227,-0.01780197711854042,-0.023383560176233525
ElasticNet_Long,0,0.10673900058932227,0.23244647072597785,0.4591981984323296,0.5877118964541049,-0.33562583201143215,694,-0.021843981013606146,-0.03473765145055508
ElasticNet_Short,0,0.09689236031735744,0.33574119071565695,0.28859241283687675,0.37049085562051276,-0.6196346173159165,698,-0.028185611784118877,-0.047388130137808966
ElasticNet_LS,0,0.009846640271964788,0.25571210601180416,0.03850674270192843,0.044366793508228544,-0.6435757627186108,1227,-0.02392006210020831,-0.04139102782435316
ElasticNet_LS_StopLoss,0,0.09928407422579402,0.11398374789955662,0.8710371088454113,0.19244048361328947,-0.13081076518925983,1227,0.0,-0.00023668482451598847
ElasticNet_Long_TPSL,0,0.456666662533012,0.1599814494883,2.8544975932750853,5.452916614953488,-0.10022188153940144,60,-0.014241956505270366,-0.016726143852542747
ElasticNet_LS_TPSL,0,-0.07576245112864408,0.15109585366080552,-0.5014197894452015,-0.6791611380058783,-0.4782586481040285,1227,-0.01780197711854042,-0.023374378073722453
RF_Long,0,0.13806968510199893,0.2236049879384368,0.6174714006827632,0.798999847257812,-0.3332175024668771,775,-0.020550731493571634,-0.03300644220921643
RF_Short,0,0.1107101884214186,0.3425460528950881,0.3231979685234496,0.40558321346467896,-0.6145633708827765,683,-0.027492401230384825,-0.04962288049370218
RF_LS,0,0.027359496680580322,0.2674473157611441,0.10229864002454582,0.12319759253568523,-0.5543405899113142,1227,-0.023778159251717577,-0.04294889732352188
RF_LS_StopLoss,0,0.08990901721704199,0.10823985564574017,0.8306461301214827,0.2175542002325825,-0.14773738426495325,1227,0.0,-0.0002750137148078103
RF_Long_TPSL,0,0.4373108099819298,0.1616062467618358,2.7060266465219533,5.143193012020066,-0.1032835060068062,93,-0.014325921752166676,-0.01710638475544146
RF_LS_TPSL,0,-0.14526502215664472,0.15410501267266682,-0.942636580324619,-1.3016161128402655,-0.6652354612220751,1219,-0.0178407204199803,-0.023456108124463755
XGB_Long,0,0.14172095092076128,0.24057308844777262,0.5890972753235793,0.7542221169571696,-0.32777812797658396,793,-0.02176876168238905,-0.0354741489779991
XGB_Short,0,0.09576517502606413,0.33530495822445877,0.28560620019808153,0.36153200486268866,-0.5905582373482681,799,-0.0277631414871644,-0.04878761258140101
XGB_LS,0,0.04595577589469718,0.21654511991918252,0.2122226347647478,0.2767673228337631,-0.3798312775669006,1227,-0.02210964151048308,-0.03274522913659632
XGB_LS_StopLoss,0,0.07959261056819757,0.09131585269346326,0.8716187630134796,0.3374899279390665,-0.1243754510891573,1227,0.0,-0.0002974070856363342
