Strategy,Regime,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID_Pandemic_OOS (2020-2021),0.24324523311268534,0.2603134945134295,0.9344318993809843,1.022757384538219,-0.34358184522978447,109,-0.02255707704577763,-0.04184592319962378
LASSO_Long,COVID_Pandemic_OOS (2020-2021),0.3262522039358419,0.37435165198102527,0.8715126598463058,1.0593326237456044,-0.41943641746731397,78,-0.031677076383594356,-0.057555238101542186
LASSO_Short,COVID_Pandemic_OOS (2020-2021),0.014209532225689329,0.22739259461781372,0.0624889840831086,0.07007972231570381,-0.3266671291600374,486,-0.019438491317819013,-0.03698011269006224
LASSO_LS,COVID_Pandemic_OOS (2020-2021),0.16918356520158792,0.24397526197424443,0.6934455724427012,1.069135073598288,-0.20685679871935264,228,-0.025072848383153854,-0.033193415583892
LASSO_Long_TPSL,COVID_Pandemic_OOS (2020-2021),0.8429254189286093,0.19483429992656456,4.326370763496562,8.837289265042829,-0.08239824411467521,24,-0.016732027935886438,-0.01852635446629938
LASSO_Long,COVID_Pandemic_OOS (2020-2021),0.3262522039358419,0.37435165198102527,0.8715126598463058,1.0593326237456044,-0.41943641746731397,78,-0.031677076383594356,-0.057555238101542186
LASSO_Short,COVID_Pandemic_OOS (2020-2021),0.014209532225689329,0.22739259461781372,0.0624889840831086,0.07007972231570381,-0.3266671291600374,486,-0.019438491317819013,-0.03698011269006224
LASSO_LS,COVID_Pandemic_OOS (2020-2021),0.16918356520158792,0.24397526197424443,0.6934455724427012,1.069135073598288,-0.20685679871935264,228,-0.025072848383153854,-0.033193415583892
LASSO_Long_TPSL,COVID_Pandemic_OOS (2020-2021),0.8429254189286093,0.19483429992656456,4.326370763496562,8.837289265042829,-0.08239824411467521,24,-0.016732027935886438,-0.01852635446629938
ElasticNet_Long,COVID_Pandemic_OOS (2020-2021),0.3100012606757303,0.3720062534092473,0.8333227138918421,1.0098674478700516,-0.41994457277566705,84,-0.031881268957170236,-0.05739061801296611
ElasticNet_Short,COVID_Pandemic_OOS (2020-2021),0.031581244285628904,0.22842215118326847,0.13825823862542352,0.15493653803220206,-0.33228088305918313,300,-0.019033911779396576,-0.03710719263262731
ElasticNet_LS,COVID_Pandemic_OOS (2020-2021),0.14066778791822843,0.2422405587988199,0.5806946145424501,0.8905442805703784,-0.20393169320489576,228,-0.026058140672047186,-0.03312735986470961
ElasticNet_Long_TPSL,COVID_Pandemic_OOS (2020-2021),0.8326035914720641,0.19448450265842454,4.281079366690598,8.71068795257882,-0.082448392168481,24,-0.01658412987041147,-0.01853622896727056
ElasticNet_Long,COVID_Pandemic_OOS (2020-2021),0.3100012606757303,0.3720062534092473,0.8333227138918421,1.0098674478700516,-0.41994457277566705,84,-0.031881268957170236,-0.05739061801296611
ElasticNet_Short,COVID_Pandemic_OOS (2020-2021),0.031581244285628904,0.22842215118326847,0.13825823862542352,0.15493653803220206,-0.33228088305918313,300,-0.019033911779396576,-0.03710719263262731
ElasticNet_LS,COVID_Pandemic_OOS (2020-2021),0.14066778791822843,0.2422405587988199,0.5806946145424501,0.8905442805703784,-0.20393169320489576,228,-0.026058140672047186,-0.03312735986470961
ElasticNet_Long_TPSL,COVID_Pandemic_OOS (2020-2021),0.8326035914720641,0.19448450265842454,4.281079366690598,8.71068795257882,-0.082448392168481,24,-0.01658412987041147,-0.01853622896727056
RF_Long,COVID_Pandemic_OOS (2020-2021),0.24737156584549888,0.3112056086372404,0.7948814512975239,0.9119579687872579,-0.39956854659780583,120,-0.02788978507102589,-0.048662680417929274
RF_Short,COVID_Pandemic_OOS (2020-2021),0.15060341545585007,0.3578277314726884,0.42088245881900027,0.5602510021469027,-0.46015895147747254,257,-0.030383751796171844,-0.05309205854069277
RF_LS,COVID_Pandemic_OOS (2020-2021),-0.02901313119757889,0.22818770441567146,-0.12714590066048417,-0.17427399653335066,-0.34611956335065597,426,-0.023821318777615674,-0.03364456794646149
RF_Long_TPSL,COVID_Pandemic_OOS (2020-2021),0.6066176549849595,0.17032783616051722,3.5614710352645003,6.621655018708114,-0.08952765932639624,34,-0.01606621384657334,-0.018167335377391285
RF_Long,COVID_Pandemic_OOS (2020-2021),0.24737156584549888,0.3112056086372404,0.7948814512975239,0.9119579687872579,-0.39956854659780583,120,-0.02788978507102589,-0.048662680417929274
