Strategy,Regime,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID_Pandemic_OOS (2020-2021),0.2412909566472321,0.26055246145844996,0.926074370192471,1.0145403656026593,-0.34358978725072586,109,-0.02261259291557966,-0.041846439069425805
LASSO_Long,COVID_Pandemic_OOS (2020-2021),0.13137331877736558,0.2818393378788992,0.4661283970011812,0.5463960187970399,-0.3300535929931575,139,-0.0250258184843587,-0.044654330848902454
LASSO_Short,COVID_Pandemic_OOS (2020-2021),0.11915112532069716,0.45913250130220123,0.2595135935329306,0.3191871218854638,-0.6341333543832959,278,-0.03544410064785824,-0.0693651002369632
LASSO_LS,COVID_Pandemic_OOS (2020-2021),-0.21325546731177228,0.3673592323350605,-0.5805093449162767,-0.6683626358397043,-0.7245497082267874,467,-0.04117855021738157,-0.060676425104669654
ElasticNet_Long,COVID_Pandemic_OOS (2020-2021),0.13026511722924258,0.28151764374297716,0.4627245223328643,0.5433146250442894,-0.32779484970115,139,-0.025025818484358704,-0.04460579602619797
ElasticNet_Short,COVID_Pandemic_OOS (2020-2021),0.11738531750098896,0.45921073373405413,0.25562407164674666,0.3143237727325903,-0.6343239788796314,287,-0.03544410064785824,-0.06942737300684684
ElasticNet_LS,COVID_Pandemic_OOS (2020-2021),-0.21252698681328466,0.3676123083169972,-0.5781280495919078,-0.6655534634532934,-0.724523821119328,467,-0.04117855021738157,-0.060779281805389815
RF_Long,COVID_Pandemic_OOS (2020-2021),0.17058684244214012,0.26270994437504036,0.6493353072261824,0.7351172122636468,-0.3566088408367412,133,-0.02338136751999241,-0.04267704863304515
RF_Short,COVID_Pandemic_OOS (2020-2021),0.13769747810076516,0.4445679434917701,0.30973325926122297,0.39936835162544876,-0.5924426494974918,286,-0.03694371241483825,-0.06645275534823757
RF_LS,COVID_Pandemic_OOS (2020-2021),-0.07486620554185436,0.34601189173972646,-0.21636888017181055,-0.27260906301695725,-0.5986135299649031,467,-0.03825608273928218,-0.05352280601724456
XGB_Long,COVID_Pandemic_OOS (2020-2021),0.22064744840959152,0.3186695432199086,0.6924020607056457,0.8112577204833767,-0.39816163106888675,141,-0.027275711902817426,-0.049073795641986356
XGB_Short,COVID_Pandemic_OOS (2020-2021),0.16902247585857333,0.4228146577467212,0.3997554785809316,0.5129085641601739,-0.5507903190019867,259,-0.034719454082803324,-0.06316402629201429
XGB_LS,COVID_Pandemic_OOS (2020-2021),-0.022288153986221807,0.2091145831083495,-0.1065834513065669,-0.15104737379386995,-0.37808054800558294,459,-0.02127935227302255,-0.02957892098027752
LSTM_Long,COVID_Pandemic_OOS (2020-2021),0.3084343886532109,0.3066439124047321,1.0058389427477548,1.1481845507488,-0.4356800108407631,124,-0.025759594600448812,-0.04740869499325557
LSTM_Short,COVID_Pandemic_OOS (2020-2021),0.14493202638175387,0.3441071082641936,0.42118289015546884,0.5676213135405753,-0.39199024129772214,230,-0.030939348186134624,-0.052174927644325644
LSTM_LS,COVID_Pandemic_OOS (2020-2021),0.07063038003777264,0.19206163238745325,0.3677485146814085,0.503618933760848,-0.18332141613154923,300,-0.01968609749470392,-0.028158802055038658
SP500,Post_COVID_OOS (2022-2024),0.10117448001076661,0.1819519517195509,0.5560505345208414,0.7969032136724584,-0.2604228693129389,510,-0.017902592915579666,-0.02643206659979019
LASSO_Long,Post_COVID_OOS (2022-2024),-0.025498595756678313,0.19542761387479352,-0.13047590998585668,-0.1906476173329831,-0.34328370310080036,759,-0.020299529227477874,-0.02816404183911326
