Strategy,Regime,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID_Pandemic_OOS (2020-2021),0.24127942292427754,0.26055246145844996,0.9260301037791352,1.0144918705091603,-0.3435904918742867,109,-0.022612638684321545,-0.0418464848381677
LASSO_Long,COVID_Pandemic_OOS (2020-2021),0.11465034188741703,0.28081909854124054,0.40827116988476375,0.4780460401474365,-0.3335295778021321,256,-0.02504381037902853,-0.044865844643202174
LASSO_Short,COVID_Pandemic_OOS (2020-2021),0.10405786845212148,0.44633928233904735,0.23313625434625593,0.2867651875578158,-0.6255748632210031,300,-0.034985888716122814,-0.06781367542250563
LASSO_LS,COVID_Pandemic_OOS (2020-2021),-0.2261797963830445,0.3520462927246425,-0.6424717460665149,-0.7539846405796601,-0.7090155174632973,467,-0.037912306369211654,-0.05806146914140404
ElasticNet_Long,COVID_Pandemic_OOS (2020-2021),0.11206976201750118,0.2807924511841981,0.3991195687236767,0.46730181724764996,-0.33381195219747545,300,-0.02504381037902853,-0.044879875637580044
ElasticNet_Short,COVID_Pandemic_OOS (2020-2021),0.10309385520808761,0.4462497968072983,0.23102274991646907,0.28413426988507245,-0.6257999600926314,300,-0.034985888716122814,-0.06781227730073713
ElasticNet_LS,COVID_Pandemic_OOS (2020-2021),-0.22772548878202384,0.3520298498013677,-0.6468925544538839,-0.7587905726301766,-0.7096880599863836,467,-0.037912306369211654,-0.05808773570133891
RF_Long,COVID_Pandemic_OOS (2020-2021),0.2170609708505806,0.26591091777563475,0.8162920600113462,0.9521688661191907,-0.3408698578117561,116,-0.023812270910082835,-0.04162272494058839
RF_Short,COVID_Pandemic_OOS (2020-2021),0.16979532810326517,0.466331031000282,0.364109005868757,0.46303775356975935,-0.6167332754008313,276,-0.03762949162494443,-0.07109057611630341
RF_LS,COVID_Pandemic_OOS (2020-2021),-0.03362938468358311,0.3733233943538874,-0.09008110713711272,-0.10960348410967356,-0.5786632093900188,467,-0.040717506368449174,-0.059656061737605987
XGB_Long,COVID_Pandemic_OOS (2020-2021),0.25766866628638446,0.28984861635392123,0.8889766993807441,1.0257017001062882,-0.3329132244323229,76,-0.025347863709104933,-0.04501938174296745
XGB_Short,COVID_Pandemic_OOS (2020-2021),0.12101637084148631,0.4495664354795847,0.2691846216508345,0.3396666783045359,-0.5928453397422768,340,-0.036028101713544064,-0.06812930931662939
XGB_LS,COVID_Pandemic_OOS (2020-2021),0.05724956140609825,0.30095247617317117,0.19022791283882395,0.26568734386098247,-0.4145366929209111,467,-0.029544096747850076,-0.0428691126463477
LSTM_Long,COVID_Pandemic_OOS (2020-2021),0.292982739699916,0.3271527576884349,0.895553324294271,1.0701720726780417,-0.4357649930981992,117,-0.028591770272676537,-0.04932136641706977
LSTM_Short,COVID_Pandemic_OOS (2020-2021),0.17730855566466328,0.44120764243917265,0.4018709981641082,0.5207641760018739,-0.5559280161193823,230,-0.03618595063247597,-0.06710226989185236
LSTM_LS,COVID_Pandemic_OOS (2020-2021),0.044090592416566224,0.23000332445914978,0.19169545709934738,0.2321163054009714,-0.31103506839388884,459,-0.023560376683146006,-0.035989715772219835
SP500,Post_COVID_OOS (2022-2024),0.10116294628781206,0.1819519517195509,0.5559871456819444,0.7968123680275179,-0.2604297856907927,510,-0.01790263868432155,-0.026432112368532074
LASSO_Long,Post_COVID_OOS (2022-2024),-0.031048656039444643,0.19270682098427017,-0.16111861469594277,-0.2360180086581891,-0.34476852481721104,759,-0.019756131875223105,-0.02777867009741715
LASSO_Short,Post_COVID_OOS (2022-2024),-0.09910785729336642,0.23220889093888705,-0.4268047484859213,-0.6597874757724984,-0.44706246487380613,698,-0.025187432534434298,-0.0319744962665614
LASSO_LS,Post_COVID_OOS (2022-2024),-0.15394840591980802,0.16029654091559375,-0.9603975546850482,-1.2970378549600072,-0.3741547792653968,759,-0.017751575783828032,-0.025190157447274552
ElasticNet_Long,Post_COVID_OOS (2022-2024),-0.03143671667832579,0.19268185208697713,-0.1631534902629811,-0.23896495497967352,-0.34581571305018405,759,-0.019756131875223105,-0.027765892285368795
ElasticNet_Short,Post_COVID_OOS (2022-2024),-0.09887654017863101,0.23217329190284094,-0.42587387794806525,-0.6583587839991073,-0.446914130223492,698,-0.025187432534434298,-0.0319744962665614
ElasticNet_LS,Post_COVID_OOS (2022-2024),-0.1546414416524769,0.16035301306026947,-0.9643812654418545,-1.301973886416631,-0.37547960508408956,759,-0.017744996160018716,-0.025196994576721837
RF_Long,Post_COVID_OOS (2022-2024),-0.05327730620044601,0.18957057605375152,-0.28104206522714564,-0.4139724690591319,-0.33709482461452234,758,-0.02005661335374851,-0.027378067394473116
RF_Short,Post_COVID_OOS (2022-2024),-0.057319331517328515,0.22209349888227656,-0.2580864897252636,-0.3539520505191427,-0.3751548915461811,698,-0.023695535472884804,-0.03243575255749315
RF_LS,Post_COVID_OOS (2022-2024),-0.19660022033323818,0.16021299828907057,-1.2271177896472203,-1.81779249677044,-0.4770525499738573,759,-0.016858189281255834,-0.022838560619291636
XGB_Long,Post_COVID_OOS (2022-2024),-0.08314773117501234,0.20044660162452776,-0.41481237646903524,-0.6095708452232074,-0.4025683226168461,758,-0.020610363788673827,-0.028982076373479142
XGB_Short,Post_COVID_OOS (2022-2024),-0.03255408617973289,0.22703536606753905,-0.1433877318040777,-0.20291548103296772,-0.3504299537125371,698,-0.021669651130661785,-0.03238556675065115
XGB_LS,Post_COVID_OOS (2022-2024),-0.21886249639212857,0.13170321727113085,-1.661785497172535,-2.331569699190271,-0.4807063625347237,759,-0.014168703858296215,-0.020161140241325343
LSTM_Long,Post_COVID_OOS (2022-2024),0.03821744975597455,0.18522259213963582,0.20633255001184267,0.29773171343331295,-0.2685786656256894,659,-0.01858955693463006,-0.026414357947393816
LSTM_Short,Post_COVID_OOS (2022-2024),0.008189946957126404,0.2066175531987797,0.03963819545015682,0.05452494389486137,-0.3184274932788153,683,-0.02029769735024896,-0.030092149314039925
LSTM_LS,Post_COVID_OOS (2022-2024),-0.05756757155951587,0.12184002584395098,-0.47248489288115114,-0.7095766308418583,-0.20960268801396664,759,-0.012092212703750202,-0.01727954201733513
