Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID-19 Crash (Feb-Apr 2020),-0.4576331243211788,0.6781398248322609,-0.6748359373148085,-1.0184503803912455,-0.3413164314998144,50,-0.066744435834141,-0.098094435834141
LASSO_LS,COVID-19 Crash (Feb-Apr 2020),-0.7385108280404357,0.5720122998115202,-1.2910750840214051,-2.185358227585891,-0.3346810508521032,50,-0.06729372342016082,-0.07315745478032902
LASSO_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.31707249174570457,0.1322747593726951,-2.3970747952927782,-2.6712800127157665,-0.07641814462527112,50,-0.012793657818964032,-0.027742065586440306
ElasticNet_LS,COVID-19 Crash (Feb-Apr 2020),-0.7261249736833922,0.5653558523553727,-1.2843680146906182,-2.22029617452407,-0.32833753938925964,50,-0.06509161542364991,-0.07173773659077176
ElasticNet_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.30849616040302813,0.13334185703145268,-2.3135733015197175,-2.6153047137326504,-0.07538884722223275,50,-0.01279365781896403,-0.027921013247567173
RF_LS,COVID-19 Crash (Feb-Apr 2020),0.3055999709953931,0.28041687185560993,1.0898059341905442,2.254210916142551,-0.09164039168370927,27,-0.022279382698593267,-0.028608298362901713
RF_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.3055999709953931,0.28041687185560993,1.0898059341905442,2.254210916142551,-0.09164039168370927,27,-0.022279382698593267,-0.028608298362901713
XGB_LS,COVID-19 Crash (Feb-Apr 2020),-0.3749239519955037,0.28145378059345105,-1.3320977647021437,-2.262221805393697,-0.1981028414773835,24,-0.02314584380559725,-0.036459013947173026
XGB_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.27530079295269444,0.23291731195599671,-1.1819679294800762,-2.0999678390800054,-0.14767880214426823,24,-0.01986395873319569,-0.028186234548348815
LSTM_LS,COVID-19 Crash (Feb-Apr 2020),-1.0957909253866105,0.26797707872620125,-4.089121840551919,-5.6415150611833775,-0.2157655092636697,48,-0.03210232246099467,-0.040077230802362744
LSTM_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.5623155586940269,0.24917756116956866,-2.2566861801467093,-2.7674256463113407,-0.13803978475262016,48,-0.03210232246099467,-0.040077230802362744
SP500,Rate Hike Sell-Off (2022),-0.2220144968701989,0.254078569685921,-0.8738025294484375,-1.3849301171933552,-0.26070131246171935,215,-0.029244435834141,-0.03584898128868646
LASSO_LS,Rate Hike Sell-Off (2022),0.098809013469819,0.1719908388450287,0.5745016079539578,0.9700565197908233,-0.15028915780770483,128,-0.016933393246074287,-0.022137533030124126
LASSO_LS_StopLoss,Rate Hike Sell-Off (2022),-0.020858141160027953,0.0015454992212351327,-13.49605413800114,-13.340348952879477,-0.017175250546216287,215,-0.00023148148148148157,-0.00043516930309383145
ElasticNet_LS,Rate Hike Sell-Off (2022),0.10491477942077872,0.1714907792576319,0.6117808775197437,1.0318322523597292,-0.14614763105288406,128,-0.016208442139506805,-0.022031467146496505
ElasticNet_LS_StopLoss,Rate Hike Sell-Off (2022),-0.020467621709760072,0.0015864541871538269,-12.901489293226893,-12.669477187756467,-0.016809805770330855,215,-0.00022222222222222231,-0.0004174819473561613
RF_LS,Rate Hike Sell-Off (2022),-0.7390911793021223,0.2051117710361595,-3.603358186458381,-5.220746582565623,-0.4784297990526133,215,-0.024649381389997425,-0.03122687368208338
RF_LS_StopLoss,Rate Hike Sell-Off (2022),-0.6438728162124389,0.007807213489351934,-82.47152676055306,-82.47152676055306,-0.4235583279824626,215,-0.0033055555555555555,-0.003488215488215488
XGB_LS,Rate Hike Sell-Off (2022),-0.874682434238124,0.19504638973794633,-4.484484103567872,-5.8540048336614685,-0.5374499291352838,215,-0.025881980601928395,-0.03317481951864109
XGB_LS_StopLoss,Rate Hike Sell-Off (2022),-0.7346665501979968,0.0069513138301692074,-105.68743810838902,-105.68743810838902,-0.46627415862022836,215,-0.0034907407407407413,-0.0036329966329966324
LSTM_LS,Rate Hike Sell-Off (2022),0.18464576057609483,0.09382363458852348,1.968009035099571,3.7153755605543566,-0.06213693150173001,113,-0.008393290870986836,-0.01013483757487982
