Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID-19 Crash (Feb-Apr 2020),-0.4571802425666767,0.6781398248322609,-0.6741681078526263,-1.0174425040583661,-0.3412898553412965,50,-0.06674263868432154,-0.09809263868432154
LASSO_LS,COVID-19 Crash (Feb-Apr 2020),0.20695825604462353,0.7405300821103531,0.2794731247849332,0.45162919905594545,-0.39979175353389734,31,-0.058748891887167115,-0.08577315307774741
LASSO_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.750179811349138,0.5612324703010398,3.118457865437397,4.9291534117619396,-0.15733900715581392,31,-0.019004957311826654,-0.06180617569975947
ElasticNet_LS,COVID-19 Crash (Feb-Apr 2020),0.21282962637197975,0.7402656939872958,0.2875043759296946,0.4645662438764044,-0.3990542624839484,31,-0.058767067470157516,-0.08577315307774741
ElasticNet_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.7501798113491378,0.5612325889665176,3.1184572060792273,4.929149893025744,-0.1573390183155603,31,-0.019004957311826654,-0.06180617569975947
RF_LS,COVID-19 Crash (Feb-Apr 2020),0.39519956654690713,0.5221584567585347,0.7568575428237524,1.4040355744421948,-0.23741773259809024,31,-0.045256714604576774,-0.05457180373894251
RF_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.896799907170977,0.44785377873635573,2.002439076658787,3.579452044994274,-0.15001090580804646,31,-0.03990097962330111,-0.04681811014506094
XGB_LS,COVID-19 Crash (Feb-Apr 2020),0.024010038150252183,0.5237226286535674,0.045844950812950966,0.08674750668835199,-0.28757195348905973,31,-0.042345992811640344,-0.05826431923726291
XGB_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.8797857856800289,0.441324942412939,1.9935102259795476,3.6178856880771475,-0.1463005039777483,31,-0.03160688236789594,-0.046986855735803655
LSTM_LS,COVID-19 Crash (Feb-Apr 2020),1.0219592567266318,0.34011677924042794,3.0047304899480145,6.128874788715943,-0.06974486514658994,10,-0.024821152560321868,-0.035186886064994226
LSTM_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.0219592567266318,0.34011677924042794,3.0047304899480145,6.128874788715943,-0.06974486514658994,10,-0.024821152560321868,-0.035186886064994226
SP500,Rate Hike Sell-Off (2022),-0.22156161511569678,0.254078569685921,-0.8720200817785615,-1.3821050332903702,-0.2604297856907927,215,-0.029242638684321545,-0.035847184138867
LASSO_LS,Rate Hike Sell-Off (2022),-0.37856751711676856,0.16692116880653168,-2.267941926260674,-3.0519061949679007,-0.27792420251509636,215,-0.021658314171778173,-0.02682087931544203
LASSO_LS_StopLoss,Rate Hike Sell-Off (2022),-0.1647453866686591,0.002497923872349703,-65.95292534423369,-65.95292534423369,-0.13119766458284643,215,-0.0009270202919188324,-0.0010090824526434931
ElasticNet_LS,Rate Hike Sell-Off (2022),-0.3779936251434647,0.16679095978707584,-2.2662716590036336,-3.046126244417504,-0.2775551190117813,215,-0.02165831417177817,-0.026817574663989232
ElasticNet_LS_StopLoss,Rate Hike Sell-Off (2022),-0.16474381706817023,0.0024906691499839277,-66.14440021840448,-66.14440021840448,-0.13119648152542188,215,-0.0009270202919188324,-0.0010159209660372149
RF_LS,Rate Hike Sell-Off (2022),-0.5881947794107877,0.16222824235441632,-3.6257236771743604,-5.664141891732937,-0.38055210795635014,215,-0.01665463994524744,-0.02368749461572055
RF_LS_StopLoss,Rate Hike Sell-Off (2022),-0.6151991624836429,0.003211800153027705,-191.5434127816782,-191.5434127816782,-0.40942097371142017,215,-0.0027782128871484514,-0.002835430379814832
XGB_LS,Rate Hike Sell-Off (2022),-0.4647824240014796,0.15411378863549172,-3.015839323117142,-4.531714368150702,-0.31125640326318404,213,-0.015129536895440502,-0.023322319688441843
XGB_LS_StopLoss,Rate Hike Sell-Off (2022),-0.6350787711147282,0.004509313809861477,-140.83712021236272,-140.83712021236272,-0.41929926566408815,215,-0.0029263082947668215,-0.0030258098967604133
LSTM_LS,Rate Hike Sell-Off (2022),-0.4151485119223415,0.14294629892932684,-2.904227077103916,-4.265369815899516,-0.2742190625306135,215,-0.01531323086200643,-0.020458908782876824
LSTM_LS_StopLoss,Rate Hike Sell-Off (2022),-0.4392668078289735,0.0029814247542203705,-147.33452763051196,-147.33452763051196,-0.3128037802306366,215,-0.0020737310775036733,-0.0021674662761381374
SP500,Yen Carry Trade Panic (Aug 2024),0.29953005155096984,0.23706419700157172,1.2634976320316476,1.7386872776658473,-0.06563930671089811,11,-0.023267638684321544,-0.03009263868432155
LASSO_LS,Yen Carry Trade Panic (Aug 2024),0.5081899233486822,0.1059437112503594,4.796791780757617,11.43022583682223,-0.018865511771081932,5,-0.007229946093636922,-0.00747758827238312
LASSO_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.19162406550373795,0.0023898028866189635,-80.18404638168428,-80.18404638168428,-0.011327532206389839,15,-0.0010195799216803133,-0.0010751156995372018
