Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID-19 Crash (Feb-Apr 2020),-0.45709207528534057,0.6781398248322609,-0.6740380944275071,-1.01724629011221,-0.34128468136040696,50,-0.0667422888141575,-0.0980922888141575
LASSO_LS,COVID-19 Crash (Feb-Apr 2020),-0.17465117933316882,0.17746796089083822,-0.9841279431874352,-1.5177267362888172,-0.09587667238488982,37,-0.015023959963222169,-0.022681435555091417
LASSO_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.17465117933316882,0.17746796089083822,-0.9841279431874352,-1.5177267362888172,-0.09587667238488982,37,-0.015023959963222169,-0.022681435555091417
ElasticNet_LS,COVID-19 Crash (Feb-Apr 2020),-0.22457427846782452,0.19829925458258255,-1.1325018792458428,-1.8541856222241944,-0.10051393218056544,37,-0.01838680013061647,-0.025334150699268487
ElasticNet_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.22457427846782452,0.19829925458258255,-1.1325018792458428,-1.8541856222241944,-0.10051393218056544,37,-0.01838680013061647,-0.025334150699268487
RF_LS,COVID-19 Crash (Feb-Apr 2020),0.44098391419345523,0.2555532721726918,1.7256046476894942,2.7487118699473196,-0.11112953347822775,31,-0.018706450499416293,-0.03058239813286394
RF_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.44098391419345523,0.2555532721726918,1.7256046476894942,2.7487118699473196,-0.11112953347822775,31,-0.018706450499416293,-0.03058239813286394
XGB_LS,COVID-19 Crash (Feb-Apr 2020),0.3535457983034417,0.2163933274809979,1.633810997866778,2.6902678265593996,-0.08307168810500325,31,-0.015299650781226245,-0.026748077903658126
XGB_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.3535457983034417,0.2163933274809979,1.633810997866778,2.6902678265593996,-0.08307168810500325,31,-0.015299650781226245,-0.026748077903658126
LSTM_LS,COVID-19 Crash (Feb-Apr 2020),-0.30406799400175505,0.28405550213565994,-1.0704527520700426,-1.9047658328074035,-0.14901079781039125,49,-0.027016474253367465,-0.032550310964575564
LSTM_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.6114169954525982,0.13785133299662802,-4.435336112909072,-4.517416176415136,-0.1229582337669549,49,-0.021879373386691253,-0.030255400915362607
SP500,Rate Hike Sell-Off (2022),-0.2214734478343606,0.254078569685921,-0.8716730738374936,-1.3815550443257087,-0.26037691316322303,215,-0.029242288814157514,-0.03584683426870297
LASSO_LS,Rate Hike Sell-Off (2022),-0.08527719471712958,0.11149806119278631,-0.7648311890345841,-1.2466706528585851,-0.14548119772742502,123,-0.011388677753878237,-0.01503501572306582
LASSO_LS_StopLoss,Rate Hike Sell-Off (2022),-0.015328154425612063,0.0032471421001591663,-4.7205062029347955,-3.719289268643121,-0.011607681664885142,215,-0.00010000000000000009,-0.00041218724778046813
ElasticNet_LS,Rate Hike Sell-Off (2022),-0.08131416964317224,0.11137693205359624,-0.7300808896768916,-1.1961785519877408,-0.14628288137657963,123,-0.011388677753878237,-0.015053914160651232
ElasticNet_LS_StopLoss,Rate Hike Sell-Off (2022),-0.01509482109227873,0.0031539331104057946,-4.786030826867024,-3.7492417257768564,-0.011310705311011205,215,-0.00010000000000000009,-0.0004194632768361583
RF_LS,Rate Hike Sell-Off (2022),-0.19780812784498483,0.10317014722456506,-1.9173000443086141,-3.0607657553804426,-0.18078494485335714,125,-0.010525599978182231,-0.014623105098510853
RF_LS_StopLoss,Rate Hike Sell-Off (2022),-0.11307372881355933,0.006324003832889231,-17.880085433455477,-18.106338692311844,-0.09080068545340611,215,-0.0010083333333333333,-0.0013717514124293782
XGB_LS,Rate Hike Sell-Off (2022),-0.17772900772171185,0.1120705791396808,-1.5858667732964662,-2.5585712504790235,-0.14866946215050586,213,-0.011339184079770456,-0.014584945368823132
XGB_LS_StopLoss,Rate Hike Sell-Off (2022),-0.17056996233521657,0.006455983105715015,-26.420447442655682,-26.888973101971562,-0.13477787196144608,215,-0.0012911016949152545,-0.0017340010272213662
