Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID-19 Crash (Feb-Apr 2020),-0.4570153637385635,0.6781398248322609,-0.6739249738822035,-1.017075570599475,-0.3412801796126692,50,-0.0667419844032576,-0.09809198440325761
LASSO_LS,COVID-19 Crash (Feb-Apr 2020),20.7457186379303,0.9093462018832473,22.813883859597272,0.0,-0.003714285714285621,1,0.019489325946490416,0.009411632484203614
LASSO_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),20.7457186379303,0.9093462018832473,22.813883859597272,0.0,-0.003714285714285621,1,0.019489325946490416,0.009411632484203614
ElasticNet_LS,COVID-19 Crash (Feb-Apr 2020),20.7457186379303,0.9093462018832473,22.813883859597272,0.0,-0.003714285714285621,1,0.019489325946490416,0.009411632484203614
ElasticNet_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),20.7457186379303,0.9093462018832473,22.813883859597272,0.0,-0.003714285714285621,1,0.019489325946490416,0.009411632484203614
RF_LS,COVID-19 Crash (Feb-Apr 2020),16.992041389244456,0.708588761163322,23.980116988234272,0.0,-0.003714285714285684,1,0.017189032344292077,0.008632198314110275
RF_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),16.992041389244456,0.708588761163322,23.980116988234272,0.0,-0.003714285714285684,1,0.017189032344292077,0.008632198314110275
XGB_LS,COVID-19 Crash (Feb-Apr 2020),19.69521941102346,0.8554033968457088,23.02448117887932,0.0,-0.0036190476190476606,1,0.01836604091460895,0.008390020247028004
XGB_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),19.69521941102346,0.8554033968457088,23.02448117887932,0.0,-0.0036190476190476606,1,0.01836604091460895,0.008390020247028004
LSTM_LS,COVID-19 Crash (Feb-Apr 2020),5.419493961530281,0.4981402096585751,10.879454933471036,17.15739045208417,-0.06272647814049338,2,-0.013769679215924523,-0.0322026904252272
LSTM_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),5.419493961530281,0.4981402096585751,10.879454933471036,17.15739045208417,-0.06272647814049338,2,-0.013769679215924523,-0.0322026904252272
SP500,Rate Hike Sell-Off (2022),-0.22139673628758355,0.254078569685921,-0.8713711532667352,-1.3810765164234062,-0.26033090739889997,215,-0.029241984403257607,-0.03584652985780306
LASSO_LS,Rate Hike Sell-Off (2022),5.12750983133618,0.17956241204165396,28.55558562081872,3580.281347264319,-0.0037704918032786415,1,0.0059044304555056736,-0.00035382921972451376
LASSO_LS_StopLoss,Rate Hike Sell-Off (2022),5.12750983133618,0.17956241204165396,28.55558562081872,3580.281347264319,-0.0037704918032786415,1,0.0059044304555056736,-0.00035382921972451376
ElasticNet_LS,Rate Hike Sell-Off (2022),5.128841457737232,0.17954779606545027,28.565326727082873,3737.2492450645336,-0.003770491803278779,1,0.005904430455505673,-0.00035680984565595946
ElasticNet_LS_StopLoss,Rate Hike Sell-Off (2022),5.128841457737232,0.17954779606545027,28.565326727082873,3737.2492450645336,-0.003770491803278779,1,0.005904430455505673,-0.00035680984565595946
RF_LS,Rate Hike Sell-Off (2022),4.8101161177881995,0.16743208170238927,28.72876015683892,4038.01970819801,-0.003639344262295076,1,0.0063735523224181774,-0.00023370021441313852
RF_LS_StopLoss,Rate Hike Sell-Off (2022),4.8101161177881995,0.16743208170238927,28.72876015683892,4038.01970819801,-0.003639344262295076,1,0.0063735523224181774,-0.00023370021441313852
