Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID-19 Crash (Feb-Apr 2020),-0.4571687088437222,0.6781398248322609,-0.674151099969396,-1.0174168360638394,-0.3412891785021468,50,-0.06674259291557966,-0.09809259291557966
LASSO_LS,COVID-19 Crash (Feb-Apr 2020),0.2652189379428601,0.7307895277648953,0.362921098163553,0.5797235888830092,-0.4007686441062209,31,-0.06250496241247842,-0.08655846546396402
LASSO_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.8380073882135657,0.5421220185664758,3.3903942752109164,5.249393186222401,-0.15347083296586075,31,-0.021493271380570833,-0.05977404046244352
ElasticNet_LS,COVID-19 Crash (Feb-Apr 2020),0.27962492050064125,0.732248573084538,0.38187158128932075,0.6105621113860467,-0.39987401037739767,31,-0.06250496241247842,-0.08655846546396402
ElasticNet_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.8444223029623283,0.5425759020746909,3.3993811665974536,5.267648360025996,-0.153440042699285,31,-0.021493271380570833,-0.05977404046244352
RF_LS,COVID-19 Crash (Feb-Apr 2020),0.2257993423225604,0.5643835642343374,0.400081357133225,0.7423251609962349,-0.30421228623805446,31,-0.049379932888178796,-0.05606973866729887
RF_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.0784226747755394,0.4169420291490847,2.5865050759608867,4.569861135843019,-0.14947004782743636,31,-0.03942897610048718,-0.0505857005617121
XGB_LS,COVID-19 Crash (Feb-Apr 2020),0.3338562921322518,0.30538358414542904,1.0932358825589772,2.2245213530538117,-0.1629361426491371,23,-0.02578796947462128,-0.028310826111840024
XGB_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.5030855838059407,0.2963254939481895,1.697746545877358,3.39563554010475,-0.1333433330930027,23,-0.02438879730991675,-0.02642582961025111
LSTM_LS,COVID-19 Crash (Feb-Apr 2020),-0.029772252454296683,0.2675358356209624,-0.11128323196477205,-0.1726414925378665,-0.15336637359751706,35,-0.028134868116144594,-0.035112302998751795
LSTM_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),-0.7905338340265133,0.15837636561503238,-4.9914886666112475,-5.290244885547233,-0.15546147528264426,46,-0.02528275047038636,-0.035112302998751795
SP500,Rate Hike Sell-Off (2022),-0.2215500813927422,0.254078569685921,-0.8719746874622725,-1.3820330857351057,-0.2604228693129389,215,-0.029242592915579662,-0.03584713837012512
LASSO_LS,Rate Hike Sell-Off (2022),-0.41661221735539744,0.17108232838291856,-2.4351563442773054,-3.2293565912741573,-0.2972236520633496,215,-0.022789555699600596,-0.028020456376638046
LASSO_LS_StopLoss,Rate Hike Sell-Off (2022),-0.16475009547012567,0.0026933363679450986,-61.169520981823375,-61.169520981823375,-0.13126474812266584,215,-0.0009508875791657327,-0.0010411447607233638
ElasticNet_LS,Rate Hike Sell-Off (2022),-0.4151797663242459,0.17097590040711236,-2.428294077327023,-3.220886431600873,-0.29634771303525653,215,-0.022789555699600596,-0.028020456376638046
ElasticNet_LS_StopLoss,Rate Hike Sell-Off (2022),-0.1647925051637699,0.002694802684094959,-61.15197455323707,-61.15197455323707,-0.13129635068114787,215,-0.0009508875791657327,-0.0010411447607233638
RF_LS,Rate Hike Sell-Off (2022),-0.2057298963020399,0.18927034015857144,-1.0869632089723016,-1.786658108374952,-0.20551112453816656,215,-0.01781059934292515,-0.024986313953411155
RF_LS_StopLoss,Rate Hike Sell-Off (2022),-0.1614068233548739,0.004241922382062826,-38.050395272999445,-38.050395272999445,-0.1288691087623127,215,-0.0010380918476326096,-0.0011916667067801649
XGB_LS,Rate Hike Sell-Off (2022),-0.23832963157202489,0.22037512250373295,-1.08147248593356,-1.8737890096056569,-0.18951598553987367,215,-0.02202514282448862,-0.028374407402178045
XGB_LS_StopLoss,Rate Hike Sell-Off (2022),-0.20154238666035734,0.011371792731633619,-17.723009152260964,-17.723009152260964,-0.15854198531736352,215,-0.002296902812388751,-0.0023919850143644694
LSTM_LS,Rate Hike Sell-Off (2022),-0.21232395707131801,0.1896825681460221,-1.119364626631721,-1.9689613947617262,-0.21327186143807125,215,-0.01833496773269688,-0.02221460607418759
LSTM_LS_StopLoss,Rate Hike Sell-Off (2022),-0.09661809980103472,0.002522536154478751,-38.30196829071795,-38.30196829071795,-0.0792940886453693,215,-0.0006308294766820933,-0.0007418849547984734
