Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID-19 Crash (Feb-Apr 2020),-0.4571802425666767,0.6781398248322609,-0.6741681078526263,-1.0174425040583661,-0.3412898553412965,50,-0.06674263868432154,-0.09809263868432154
LASSO_LS,COVID-19 Crash (Feb-Apr 2020),0.16351995570407843,0.7276526268049125,0.22472255260327534,0.361319764029699,-0.39752325674771233,31,-0.05850370723942237,-0.08319625989702051
LASSO_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.7161261036794837,0.5469054064208119,3.137884693644854,4.9315455464549105,-0.15364696748847706,31,-0.020594481278871896,-0.061909770738887517
ElasticNet_LS,COVID-19 Crash (Feb-Apr 2020),0.16565533152118447,0.7272780072048294,0.22777442722055197,0.3658966882164516,-0.397548480952036,31,-0.05850370723942237,-0.08320837695234745
ElasticNet_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.71826147949659,0.546382319540926,3.144797000276811,4.942045403086766,-0.1536824021870959,31,-0.020594481278871896,-0.06165623271242051
RF_LS,COVID-19 Crash (Feb-Apr 2020),0.3764460772021186,0.6853320230979972,0.5492900732996825,0.9888474587616983,-0.3455064517697938,31,-0.06427539608986998,-0.07703622476188819
RF_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.441437984672713,0.5143660700762333,2.802358220205077,4.561712592906348,-0.16228528443993784,31,-0.03869337048838235,-0.06731960484922478
XGB_LS,COVID-19 Crash (Feb-Apr 2020),0.6607041469826493,0.5019855573071189,1.3161815860340083,2.885072068027339,-0.2214882006678754,31,-0.03987824096911291,-0.04763944081145136
XGB_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.162570550283748,0.4358471670206227,2.6673812250080298,4.875892513065266,-0.13192716744421912,31,-0.034697813056567134,-0.044980673667283644
LSTM_LS,COVID-19 Crash (Feb-Apr 2020),0.4312235187416246,0.36007379362526337,1.1975976213098372,2.0241966341234874,-0.12177140039638701,23,-0.030528729666262733,-0.04235425358029615
LSTM_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.4312235187416246,0.36007379362526337,1.1975976213098372,2.0241966341234874,-0.12177140039638701,23,-0.030528729666262733,-0.04235425358029615
SP500,Rate Hike Sell-Off (2022),-0.22156161511569678,0.254078569685921,-0.8720200817785615,-1.3821050332903702,-0.2604297856907927,215,-0.029242638684321545,-0.035847184138867
LASSO_LS,Rate Hike Sell-Off (2022),-0.38131558161311563,0.163225476958848,-2.336127844241202,-3.0897366400187027,-0.28025675622543106,215,-0.021867082182445197,-0.026697736061394892
LASSO_LS_StopLoss,Rate Hike Sell-Off (2022),-0.1632445665859769,0.002849408577316901,-57.290684068794896,-57.290684068794896,-0.13011091388330798,215,-0.0009640441438234249,-0.0010465499473164429
ElasticNet_LS,Rate Hike Sell-Off (2022),-0.3825791943347086,0.16320193068965674,-2.344207526945362,-3.1014559458246462,-0.28103466215578204,215,-0.021867082182445197,-0.026697736061394892
ElasticNet_LS_StopLoss,Rate Hike Sell-Off (2022),-0.16350373354930905,0.0028489389158559367,-57.39109836273408,-57.39109836273408,-0.1303042566396894,215,-0.0009640441438234249,-0.0010496352683084923
RF_LS,Rate Hike Sell-Off (2022),-0.22824971403699182,0.19678278319369616,-1.1599069305383403,-1.887110603510226,-0.22723736701559621,215,-0.019530843437030435,-0.026139058795136318
RF_LS_StopLoss,Rate Hike Sell-Off (2022),-0.14556226161972352,0.0033977859344977985,-42.840327326635425,-42.840327326635425,-0.11717253066982851,215,-0.0009101508916323731,-0.001072407538444835
XGB_LS,Rate Hike Sell-Off (2022),-0.3369705316249961,0.17212333188853277,-1.957727217616369,-3.0807773729447696,-0.22833983616403572,215,-0.017052892488886494,-0.02357518498193463
XGB_LS_StopLoss,Rate Hike Sell-Off (2022),-0.1797189343629457,0.006705670734521299,-26.801037730310714,-26.801037730310714,-0.14220515050068713,215,-0.0014916340334638664,-0.0017446614752760345
LSTM_LS,Rate Hike Sell-Off (2022),-0.2543789974911197,0.18229105005355337,-1.39545522073842,-2.4728356111764853,-0.2063516649992161,215,-0.018479969413383267,-0.022359202786137712
LSTM_LS_StopLoss,Rate Hike Sell-Off (2022),-0.08576601847090554,0.002096270567346039,-40.913620506292126,-40.913620506292126,-0.07061843347663299,215,-0.00044571021715913127,-0.0005462049282118373
SP500,Yen Carry Trade Panic (Aug 2024),0.29953005155096984,0.23706419700157172,1.2634976320316476,1.7386872776658473,-0.06563930671089811,11,-0.023267638684321544,-0.03009263868432155
LASSO_LS,Yen Carry Trade Panic (Aug 2024),0.6010815936720785,0.10440856446548845,5.757014252128349,11.670647566094969,-0.01750321731605776,4,-0.007719442297840516,-0.009268928004194245
LASSO_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.17879530081879672,0.0021447646102883476,-83.36360081713536,-83.36360081713536,-0.01055794190140576,15,-0.000908508365966536,-0.0009640441438234246
ElasticNet_LS,Yen Carry Trade Panic (Aug 2024),0.6010815936720785,0.10440856446548845,5.757014252128349,11.670647566094969,-0.01750321731605776,4,-0.007719442297840516,-0.009268928004194245
ElasticNet_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.17879530081879672,0.0021447646102883476,-83.36360081713536,-83.36360081713536,-0.01055794190140576,15,-0.000908508365966536,-0.0009640441438234246
RF_LS,Yen Carry Trade Panic (Aug 2024),0.048763899423749396,0.1759890207588361,0.2770848954865899,0.302768267373113,-0.04647524299588114,11,-0.020475827056318785,-0.02729930647237714
RF_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.18695906016375935,0.002493550241381567,-74.97705763497011,-74.97705763497011,-0.011071090365692813,15,-0.000973300106799573,-0.0011121395514417944
XGB_LS,Yen Carry Trade Panic (Aug 2024),0.056255344578328835,0.13991612472843595,0.40206477050100675,0.5692975927329074,-0.03698637365609991,11,-0.015555400706661428,-0.017100338333613643
XGB_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.1840434318262727,0.01137176928344501,-16.184238990339225,-16.184238990339225,-0.011550720236529836,15,-0.002167319330722677,-0.002333926664293343
LSTM_LS,Yen Carry Trade Panic (Aug 2024),-0.122116956170924,0.10670304756451522,-1.1444561234025594,-1.8812130002078649,-0.036120073268979515,15,-0.009148971007080769,-0.01382851251444161
