Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID-19 Crash (Feb-Apr 2020),-0.45701872150771206,0.6781398248322609,-0.6739299253229324,-1.017083043225657,-0.34128037666092914,50,-0.06674199772773834,-0.09809199772773836
LASSO_LS,COVID-19 Crash (Feb-Apr 2020),0.1390717316300344,0.5046811048561689,0.2755635792421216,0.40301229715612835,-0.2600195842022416,31,-0.047304914141957366,-0.058903555042470884
LASSO_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.6014757998218505,0.3909257758949295,1.5385933517556316,2.1810767497000185,-0.16426700371236638,31,-0.037947019899074015,-0.055980305625100174
ElasticNet_LS,COVID-19 Crash (Feb-Apr 2020),0.006869708653352407,0.4966018837935344,0.013833432529242146,0.019964448545164028,-0.2655073185960899,31,-0.0478302291923146,-0.05955700147041019
ElasticNet_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),0.5014572738404782,0.3830889970220653,1.3089837550505141,1.8081585293952154,-0.1663021374905045,31,-0.03794631620914793,-0.05683378678019265
RF_LS,COVID-19 Crash (Feb-Apr 2020),0.45465875708436254,0.7789524458793115,0.58367973486639,0.8720116047181645,-0.3830454968062698,31,-0.06982219959157038,-0.09938823117505015
RF_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.8163917549464539,0.5758055609370092,3.15452277326158,4.448068586834324,-0.15660694669739636,31,-0.022270638139720786,-0.07521099109809054
XGB_LS,COVID-19 Crash (Feb-Apr 2020),0.5109205004436923,0.7730742399206907,0.660894483427759,1.0446262229647756,-0.38730895610894256,31,-0.06457493388513039,-0.09652949389320231
XGB_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.8750955354011443,0.5879130180842479,3.1894097897530194,4.653948711619997,-0.1584930350499192,31,-0.02651728931167613,-0.07700832375540728
LSTM_LS,COVID-19 Crash (Feb-Apr 2020),0.7637754784543949,0.7090094752883364,1.0772429778089871,1.5943305939049686,-0.29772817323938877,31,-0.06536033064242176,-0.08908055922459411
LSTM_LS_StopLoss,COVID-19 Crash (Feb-Apr 2020),1.5988765519874717,0.5097395753910853,3.1366537525770344,4.429394845329522,-0.1312978273289697,31,-0.020031358827680187,-0.07008939133951124
SP500,Rate Hike Sell-Off (2022),-0.2214000940567321,0.254078569685921,-0.8713843687423761,-1.3810974622430983,-0.2603329211936155,215,-0.029241997727738354,-0.0358465431822838
LASSO_LS,Rate Hike Sell-Off (2022),-0.27389717913870854,0.1712798907624484,-1.5991204683717493,-2.3675739285369106,-0.20005510519242414,215,-0.018782612496065536,-0.025167090631541954
LASSO_LS_StopLoss,Rate Hike Sell-Off (2022),-0.20217013557726068,0.0028483254695634585,-70.9785934710073,-70.9785934710073,-0.15833800254658098,215,-0.001067509336397587,-0.0011916042112207008
ElasticNet_LS,Rate Hike Sell-Off (2022),-0.2278479792902862,0.20000914901415634,-1.139187784225608,-1.751933428416011,-0.17885985220415515,215,-0.021271645075271094,-0.027594113319341897
ElasticNet_LS_StopLoss,Rate Hike Sell-Off (2022),-0.17655857118537668,0.0024982373768775586,-70.67325660063968,-70.67325660063968,-0.1398113352437483,215,-0.0009342143062338409,-0.0010389719404729461
RF_LS,Rate Hike Sell-Off (2022),-0.17693239050440565,0.21428312121831228,-0.8256944807339558,-1.380393342177409,-0.17373879950612206,127,-0.021771238798753777,-0.027381486154965207
RF_LS_StopLoss,Rate Hike Sell-Off (2022),-0.14688841462117103,0.0021143103485139914,-69.47344070108211,-69.47344070108211,-0.11781340598811366,215,-0.0007877777777777777,-0.0008830785507570196
XGB_LS,Rate Hike Sell-Off (2022),-0.19514019409124295,0.20053474636499488,-0.9730991642518985,-1.601205839636549,-0.16066278551591137,131,-0.0203260493074591,-0.02590598612100462
XGB_LS_StopLoss,Rate Hike Sell-Off (2022),-0.23591230513262473,0.0029258929205678084,-80.62916570673502,-80.62916570673502,-0.1829154995132154,215,-0.0011860344249736666,-0.00133702092745902
LSTM_LS,Rate Hike Sell-Off (2022),-0.09101090018723723,0.2618091853331867,-0.34762302197844536,-0.6208302547869287,-0.16199186781083014,86,-0.02409449593505711,-0.03068573325395787
LSTM_LS_StopLoss,Rate Hike Sell-Off (2022),-0.11097102599295647,0.002101987464206643,-52.793381446183105,-52.793381446183105,-0.09048583242985819,215,-0.0006067047703405792,-0.0007639566593832609
SP500,Yen Carry Trade Panic (Aug 2024),0.2996915726099345,0.23706419700157172,1.264178970930594,1.7396248617541306,-0.06563746889944592,11,-0.023266997727738353,-0.030091997727738358
LASSO_LS,Yen Carry Trade Panic (Aug 2024),-0.05360553718920069,0.12271974489983825,-0.43681265172896677,-0.586077210823288,-0.01837335739198501,10,-0.012700993122823153,-0.017065429513044957
LASSO_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.2298076694411415,0.0023315002557654885,-98.56643544123912,-98.56643544123912,-0.013554569406991266,15,-0.0011279726516052317,-0.0011533888228299643
ElasticNet_LS,Yen Carry Trade Panic (Aug 2024),-0.03105064493817186,0.1307011827015225,-0.2375697319364055,-0.33445085024494187,-0.016564506270634174,9,-0.013724375312797287,-0.01633974607806045
ElasticNet_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.25702838882282997,0.002511515563471445,-102.33995463184088,-102.33995463184088,-0.015126011972059358,15,-0.001221165279429251,-0.001221165279429251
RF_LS,Yen Carry Trade Panic (Aug 2024),-0.17372195657227535,0.16248804282885462,-1.069136864152233,-1.7447651802967141,-0.030090845233217964,6,-0.01670448613102498,-0.020680801495791185
RF_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.15882030321046373,0.0016664430742172906,-95.30496760896547,-95.30496760896547,-0.009397382941350613,15,-0.0007806183115338882,-0.000882282996432818
XGB_LS,Yen Carry Trade Panic (Aug 2024),-0.06771104520929003,0.09181271364815409,-0.7374909478089625,-0.918572309948338,-0.02681398872836651,11,-0.011243740725231566,-0.012726331859171432
XGB_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.018980529131985738,0.00021685818432324441,-87.52507631297763,-87.52507631297763,-0.0011355466301401014,15,-0.00010285374554102266,-0.00010285374554102266
LSTM_LS,Yen Carry Trade Panic (Aug 2024),-0.12836189311623028,0.07372731154475701,-1.7410358580389402,-2.536792051191652,-0.010680038551425932,10,-0.007759812346703011,-0.0096038648836319
LSTM_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.1454768133174792,0.012361355482808962,-11.768678080635654,-11.768678080635654,-0.009132916361780404,15,-0.0016956004756242572,-0.0016956004756242572
