,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,1.0,0.823534653343309,0.05805596610510788,0.005528643213278617,0.0,0.0,0.0,4.367050232545466e-08,3.3306690738754696e-15,0.0
Elastic Net,0.823534653343309,1.0,0.06333680228798122,0.006284450595613,0.0,0.0,0.0,5.129510016743666e-08,4.440892098500626e-15,0.0
Random Forest,0.05805596610510788,0.06333680228798122,1.0,0.5448570109650102,1.7693380407024506e-05,0.0,0.0,1.830463775664981e-06,4.840572387365683e-13,0.0
XGBoost,0.005528643213278617,0.006284450595613,0.5448570109650102,1.0,2.4161570303382618e-05,0.0,0.0,1.7407481343489906e-05,7.222222819791568e-12,0.0
Transformer,0.0,0.0,1.7693380407024506e-05,2.4161570303382618e-05,1.0,0.0,0.0,0.09953588863957408,6.371432594165505e-05,0.0
LASSO Regressor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Elastic Net Regressor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.661338147750939e-16,0.5649496240581273
Random Forest Regressor,4.367050232545466e-08,5.129510016743666e-08,1.830463775664981e-06,1.7407481343489906e-05,0.09953588863957408,0.0,0.0,1.0,0.0007055494317715905,0.0
XGBoost Regressor,3.3306690738754696e-15,4.440892098500626e-15,4.840572387365683e-13,7.222222819791568e-12,6.371432594165505e-05,0.0,6.661338147750939e-16,0.0007055494317715905,1.0,2.5654811608433192e-11
Transformer Regressor,0.0,0.0,0.0,0.0,0.0,0.0,0.5649496240581273,0.0,2.5654811608433192e-11,1.0
