,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,0.0,-0.35720417582235475,-8.358276584630818,-9.041186408073905,-5.415682141025667,-20.936883280765667,-14.716238219573519,-14.139872392962612,-10.044978816157156,-5.640073341687413
Elastic Net,0.35720417582235475,0.0,-8.289237230210857,-8.986091872602765,-5.411597820062693,-20.694603516529693,-14.441800928873084,-13.911678936811521,-9.895282157795503,-5.582818969977342
Random Forest,8.358276584630818,8.289237230210857,0.0,-1.5216990153361087,4.2434584654324805,-16.344571735733936,-8.761772476956713,-8.494502739941034,-4.504503265736751,0.8855935042296722
XGBoost,9.041186408073905,8.986091872602765,1.5216990153361087,0.0,5.1489395605934885,-15.83394767083876,-7.511453972889662,-7.372776619982244,-3.703515607690448,2.231724159427843
Transformer,5.415682141025667,5.411597820062693,-4.2434584654324805,-5.1489395605934885,0.0,-17.08140007400473,-10.432919052078685,-10.188034600894332,-6.2653916555766225,-2.146847848354495
LASSO Regressor,20.936883280765667,20.694603516529693,16.344571735733936,15.83394767083876,17.08140007400473,0.0,15.021213415110006,14.83086690055541,15.518675121486256,17.192460028802248
Elastic Net Regressor,14.716238219573519,14.441800928873084,8.761772476956713,7.511453972889662,10.432919052078685,-15.021213415110006,0.0,0.4704868253762367,4.563784486840916,8.87881344881201
Random Forest Regressor,14.139872392962612,13.911678936811521,8.494502739941034,7.372776619982244,10.188034600894332,-14.83086690055541,-0.4704868253762367,0.0,4.268602481569191,8.66501502248767
XGBoost Regressor,10.044978816157156,9.895282157795503,4.504503265736751,3.703515607690448,6.2653916555766225,-15.518675121486256,-4.563784486840916,-4.268602481569191,0.0,5.292096379808269
Transformer Regressor,5.640073341687413,5.582818969977342,-0.8855935042296722,-2.231724159427843,2.146847848354495,-17.192460028802248,-8.87881344881201,-8.66501502248767,-5.292096379808269,0.0
