Model,Observations (Days),Mean IC,IC Volatility,ICIR,NW_t_Stat,p_Value
LASSO,1253,0.019144434844283117,0.2067780140902065,1.4697330510222266,3.5200415102669242,0.0004314792645565793
Elastic Net,1253,0.02080853392592373,0.20466511333980916,1.613979198040574,3.9855236557478446,6.733146851013051e-05
Random Forest,1253,0.0053226287965323195,0.15112632657555955,0.559095920710864,1.3675187342688702,0.17146276921772663
XGBoost,1253,0.010510285099556876,0.1750152986187764,0.9533201086284436,2.3387826536192806,0.01934668491434219
Transformer,1253,0.013881466657609493,0.2076105594470135,1.0614173587324642,2.4861242501575678,0.01291428675864914
LASSO Regressor,1,0.04036110189600039,0.0,0.0,inf,0.0
Elastic Net Regressor,755,0.00015211063998660698,0.26157884036073903,0.009231180731968186,0.018856841006440642,0.9849553093003851
Random Forest Regressor,1253,0.0077543305213049005,0.17984982767084148,0.6844386922867254,1.7997563761905002,0.07189911493796504
XGBoost Regressor,1253,0.0041606228725844,0.22410090636513372,0.2947236652952195,0.778145199099512,0.4364834191393224
Transformer Regressor,1253,0.001114490197129598,0.1505575673130981,0.11750975867293022,0.28361681018070456,0.776704053234761
