,Feature,COVID_Importance,Post_COVID_Importance,Rank_COVID,Rank_Post_COVID
49,fed_funds_rank,0.37034315,0.18400562,1.0,2.0
35,oil_wti_backup_rank,0.10878773,0.40825337,2.0,1.0
23,sales_growth_rank,0.09748765,0.12907414,3.0,3.0
24,net_profit_margin_rank,0.051601846,0.031581547,4.0,8.0
29,piotroski_f_score_rank,0.050438967,0.06186022,5.0,4.0
26,asset_turnover_rank,0.036369704,0.01897708,6.0,14.0
2,mom_21d_rank,0.03247099,0.023294559,7.0,12.0
5,mom_252d_rank,0.02696461,0.04509742,8.0,6.0
36,oil_brent_backup_rank,0.026557075,0.056109864,9.0,5.0
31,pt_upside_rank,0.02404809,0.028362537,10.0,9.0
28,debt_to_assets_rank,0.02384975,0.008138838,11.0,29.0
4,mom_126d_rank,0.022013139,0.013051813,12.0,19.0
34,analyst_count_rank,0.02135657,0.015613632,13.0,15.0
14,beta_252d_rank,0.020052124,0.012269639,14.0,21.0
12,vol_126d_rank,0.01783718,0.013338248,15.0,18.0
22,return_on_inv_capital_rank,0.017726617,0.011547372,16.0,24.0
32,best_analyst_rating_rank,0.017270979,0.005653164,17.0,35.0
27,debt_to_equity_fundamentals_rank,0.016865838,0.007682571,18.0,31.0
16,book_to_market_rank,0.016407458,0.024919767,19.0,10.0
15,earnings_yield_rank,0.016332535,0.007479212,20.0,32.0
18,pe_ratio_rank,0.016182063,0.009116348,21.0,27.0
37,gold_backup_rank,0.01597507,0.024272729,22.0,11.0
10,vol_21d_rank,0.015511028,0.005565598,23.0,36.0
11,vol_63d_rank,0.013628311,0.014336404,24.0,16.0
19,pb_ratio_rank,0.012801647,0.006270468,25.0,34.0
20,return_on_equity_rank,0.012017285,0.011167562,26.0,25.0
25,oper_margin_rank,0.010932271,0.014176707,27.0,17.0
1,mom_5d_rank,0.010467976,0.004563986,28.0,38.0
30,buy_ratio_rank,0.009927177,0.020650107,29.0,13.0
17,quality_score_rank,0.00882887,0.008753862,30.0,28.0
33,price_target_rank,0.008005363,0.012986775,31.0,20.0
3,mom_63d_rank,0.0074326713,0.035011802,32.0,7.0
21,return_on_assets_rank,0.0072648856,0.009676704,33.0,26.0
7,macd_hist_rank,0.006583314,0.007889499,34.0,30.0
0,mom_1d_rank,0.005893711,0.0051941844,35.0,37.0
13,vol_ratio_rank,0.00581752,0.0038333123,36.0,39.0
6,rsi_14_rank,0.005608414,0.012094307,37.0,22.0
8,bb_pct_b_rank,0.004462939,0.00669802,38.0,33.0
9,vol_5d_rank,0.0027104975,0.011980757,39.0,23.0
38,silver_backup_rank,0.0005764043,0.0016035876,40.0,40.0
40,eurusd_backup_rank,0.0,0.0,45.5,45.5
41,usdjpy_backup_rank,0.0,0.0,45.5,45.5
42,vix_rank,0.0,0.0,45.5,45.5
43,vxn_backup_rank,0.0,0.0,45.5,45.5
44,vvix_backup_rank,0.0,0.0,45.5,45.5
45,yield_3m_backup_rank,0.0,0.0,45.5,45.5
46,yield_5y_backup_rank,0.0,0.0,45.5,45.5
39,dollar_index_backup_rank,0.0,0.0,45.5,45.5
47,10y_yield_rank,0.0,0.0,45.5,45.5
48,yield_30y_backup_rank,0.0,0.0,45.5,45.5
